year,month,fleet,Nsamp,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,total_fish
1981,7,1,154,19.493,4.03,1.403,26.726,3.901,5.548,3.376,14.675,3.769,3.195,10.185,2.313,0.504,0.163,0.72,100
1982,7,1,170,0,32.05,3.521,0.486,27.347,1.526,3.68,3.894,11.764,3.268,3.611,7.645,0.241,0.302,0.664,100
1983,7,1,117,0,0,34.144,3.997,1.825,23.458,5.126,5.647,5.3,9.383,3.91,3.128,2.259,1.13,0.695,100
1984,7,1,123,0,0,1.393,61.904,3.625,3.849,16.778,2.853,1.509,1.239,3.342,0.923,0.586,1.439,0.561,100
1985,7,1,57,0.925,0.111,0.348,7.241,66.755,8.407,5.605,7.106,2.042,0.53,0.654,0.246,0,0,0.032,100
1986,7,1,120,0,15.344,5.385,0.527,0.761,43.634,6.897,8.153,8.26,2.189,2.817,1.834,3.134,0.457,0.609,100
1987,7,1,56,0,0,29.583,2.904,0.135,1.013,53.26,0.404,1.25,7.091,0,0.744,1.859,1.757,0,100
1988,7,1,84,0,0.653,0.066,32.276,0.98,1.45,0.664,46.046,1.351,0.839,10.483,0.789,0.054,0.065,4.283,100
1989,7,1,80,0,5.616,2.431,0.288,50.206,1.257,0.292,0.084,35.192,1.802,0.395,2.316,0.084,0,0.037,100
1990,7,1,163,0,5.194,20.56,1.885,0.592,31.348,0.512,0.2,0.042,31.901,0.296,0.067,6.411,0,0.992,100
1991,7,1,160,0,3.464,20.372,19.632,2.522,0.79,28.26,1.177,0.145,0.181,18.688,0.423,0,3.606,0.741,100
1992,7,1,243,0.461,4.238,4.304,13.053,18.594,2.271,1.043,33.926,0.767,0.078,0.34,18.05,0.413,0.037,2.426,100
1993,7,1,172,0,1.051,23.24,3.26,12.98,15.667,1.5,0.81,27.422,0.674,0.089,0.12,12.004,0.054,1.129,100
1994,7,1,235,0,0.037,2.832,21.39,1.265,12.628,18.687,1.571,0.573,29.906,0.262,0.282,0.022,9.634,0.909,100
1995,7,1,147,0.619,1.281,0.468,6.308,28.967,1.152,8.053,20.269,1.577,0.222,22.424,0.435,0.451,0.037,7.735,100
1996,7,1,186,0,18.282,16.242,1.506,7.742,18.139,1.002,4.909,10.981,0.576,0.347,15.717,0.009,0.108,4.439,100
1997,7,1,220,0,0.737,29.474,24.952,1.469,7.839,12.488,1.798,3.978,6.671,1.284,0.216,6.08,0.733,2.282,100
1998,7,1,243,0.015,4.779,20.335,20.294,26.596,2.868,5.406,9.312,0.917,1.561,3.901,0.353,0.092,2.942,0.628,100
1999,7,1,509,0.062,10.244,20.364,17.982,20.062,13.198,2.688,3.93,4.008,0.989,1.542,2.14,0.392,0.334,2.066,100
2000,7,1,530,0.996,4.218,10.935,14.285,12.88,21.063,13.115,6.548,4.648,2.509,2.07,2.306,1.292,0.72,2.414,100
2001,7,1,540,0,17.338,16.247,14.25,15.685,8.559,12.101,5.989,1.778,2.232,1.81,0.698,1.421,0.685,1.209,100
2002,7,1,449,0,0.033,50.642,14.934,9.687,5.719,4.438,6.58,3.546,0.871,0.845,1.036,0.242,0.475,0.953,100
2003,7,1,456,0,0.105,1.394,67.791,11.664,3.352,5.009,3.203,3.153,2.119,0.879,0.438,0.536,0.126,0.232,100
2004,7,1,501,0,0.022,5.343,6.126,68.293,8.115,2.178,4.133,2.506,1.27,1.073,0.346,0.268,0.158,0.17,100
2005,7,1,613,0.018,0.569,0.464,6.561,5.381,68.723,7.954,2.359,2.908,2.208,1.177,1.091,0.25,0.09,0.248,100
2006,7,1,720,0.326,2.808,10.444,1.673,8.567,4.879,59.037,5.276,1.716,2.376,1.134,1.015,0.426,0.136,0.188,100
2007,7,1,629,0.775,11.522,3.807,15.697,1.589,6.887,3.811,43.947,5.08,1.713,2.203,1.661,0.482,0.187,0.639,100
2008,7,1,763,0.76902637,8.8491253,30.547086,2.2352334,14.177741,1.0745071,3.7659395,3.4334957,28.952248,2.6731704,1.4570934,0.67866454,0.55709572,0.21742561,0.61214848,100
2009,7,1,664,0.78647894,0.62403207,37.352162,30.087601,2.7526956,9.0702977,0.70444993,1.9984377,1.3030834,12.502079,1.4869199,0.36007447,0.60993111,0.16910026,0.19265687,100
2010,7,1,860,0.026934845,25.018167,3.3182162,35.144121,23.803402,2.3331528,2.5776569,0.34185888,0.46009264,0.96285993,4.3535414,1.0856833,0.27850964,0.14795398,0.14785071,100
2011,7,1,1075,2.6752841,8.6956963,71.566598,2.5989701,6.0619321,4.2703921,0.99606501,0.81120753,0.28075468,0.33011576,0.069217163,1.3160016,0.13791045,0.075432601,0.11442292,100
2012,7,1,796,0.17492264,40.317263,11.582684,33.258697,2.4200113,5.3523289,2.606656,1.1081038,0.6641067,0.23788819,0.34376676,0.34267849,0.94674234,0.25796746,0.38618331,100
2013,7,1,1044,0.030220704,0.54031861,69.933098,5.9303243,10.537845,1.184352,3.5407129,2.0427579,0.97286048,1.4459357,0.28056017,0.30552409,0.53412347,2.2457944,0.47557203,100
2014,7,1,1104,0,3.2963787,3.8278885,64.850574,7.0427756,12.192678,1.6758468,2.8903379,1.8133599,0.68140756,0.37671371,0.064986769,0.19296454,0.21890211,0.87518654,100
2015,7,1,745,3.6174425,1.1034855,7.069444,3.8492188,69.556287,4.9546604,5.550326,0.93600505,1.4644936,1.2056521,0.24201514,0.17067206,0.044288095,0.027762058,0.20824826,100
2016,7,1,1308,0.32027828,50.46922,1.6460676,4.6756081,2.7346235,32.567954,2.3128752,3.0023826,0.81621967,0.43777953,0.27201099,0.32631609,0.14334854,0.06453683,0.21077952,100
2017,7,1,1293,3.7677003,0.72939345,38.483372,2.3757754,4.1272559,3.1000655,36.801705,4.3773053,3.0816322,1.326689,0.61022963,0.71557049,0.20841742,0.092567768,0.20232081,100
2018,7,1,1209,7.1544444,25.605992,1.3691894,27.788973,1.5154921,2.7588608,3.0369952,22.508373,3.9937612,1.8508385,0.96381065,0.58168229,0.41413801,0.36069703,0.096753067,100
2019,7,1,1138,0.005034598,13.12072,21.212203,1.6117138,32.586787,1.8371346,3.7825668,2.1195522,18.613198,1.902739,1.648548,0.68844518,0.39765733,0.25009695,0.22360369,100
2020,7,1,756,0,0.062167136,8.8395856,36.485165,1.549469,30.678118,1.5716012,2.1382559,1.7796803,14.19444,1.0825476,1.0264309,0.2785786,0.085865747,0.22809423,100
2021,7,1,721,1.3941559,0.36457369,1.9602313,13.396042,33.993392,2.9243521,24.719522,1.9693321,2.4346205,3.0214177,10.568067,1.8216594,0.56552473,0.56596455,0.3011446,100
2022,7,1,918,0.82203217,33.57341,1.5356843,2.2527987,8.8464051,23.10721,1.8066837,15.005082,2.286755,1.2068877,1.2240126,5.4383739,1.9221429,0.61425989,0.35826166,100
2023,7,1,620,0.68353126,35.744467,24.652559,1.1545294,1.8884908,6.1662216,12.936772,1.6438353,7.9034214,1.3070434,0.62636341,1.1139463,3.2795141,0.52842776,0.37087807,100
2024,7,1,331,9.3603573,4.0979947,36.537292,16.93795,1.3253833,1.4853418,4.8224996,10.304429,1.4524536,8.0647205,1.0272217,0.84844266,0.61266262,2.242919,0.88033166,100
