"example_id","design_block","G","theta_true","theta_CV","sigma","mean_nsamp","N_h","n_h","requested_rate","realized_rate","inclusion_probability"
138,"Poisson","8","0.5","0","1","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
139,"Poisson","2","0.5","0.2","1","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
140,"Poisson","4","0.5","0.2","1","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
141,"Poisson","8","0.5","0.2","1","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
142,"Poisson","2","0.5","0.6","1","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
143,"Poisson","4","0.5","0.6","1","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
144,"Poisson","8","0.5","0.6","1","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
145,"Poisson","2","1","0","1","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
146,"Poisson","4","1","0","1","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
147,"Poisson","8","1","0","1","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
148,"Poisson","2","1","0.2","1","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
149,"Poisson","4","1","0.2","1","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
150,"Poisson","8","1","0.2","1","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
151,"Poisson","2","1","0.6","1","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
152,"Poisson","4","1","0.6","1","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
153,"Poisson","8","1","0.6","1","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
154,"Poisson","2","2","0","1","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
155,"Poisson","4","2","0","1","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
156,"Poisson","8","2","0","1","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
157,"Poisson","2","2","0.2","1","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
158,"Poisson","4","2","0.2","1","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
159,"Poisson","8","2","0.2","1","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
160,"Poisson","2","2","0.6","1","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
161,"Poisson","4","2","0.6","1","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
162,"Poisson","8","2","0.6","1","50",43758,876,0.02,0.0200191964897847,0.0200191964897847
163,"Poisson","2","0.5","0","0.25","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
164,"Poisson","4","0.5","0","0.25","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
165,"Poisson","8","0.5","0","0.25","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
166,"Poisson","2","0.5","0.2","0.25","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
