"GEN","Nsamp","rep","FIT","conv","rmse_p","theta_hat","p1_hat","p2_hat","p3_hat"
"DMstrong",250,9,"DM",TRUE,0.0883150533145653,0.0560058327694476,0.299827443504419,0.315087694428215,0.385084862067366
"MN",25,10,"MN",TRUE,0.0282842712474619,NA,0.24,0.28,0.48
"MN",25,10,"DM",TRUE,0.0282843461150626,42480.728485249,0.240000105878175,0.280000136974922,0.479999757146902
"DMstrong",25,10,"MN",TRUE,0.107082522694727,NA,0.18,0.18,0.64
"DMstrong",25,10,"DM",TRUE,0.0974484421126045,0.568625499743581,0.166660372064541,0.20086545216687,0.632474175768589
"MN",125,10,"MN",TRUE,0.00326598632371091,NA,0.196,0.3,0.504
"MN",125,10,"DM",TRUE,0.00326695813621064,2367.01046594685,0.195996130902428,0.300005363141908,0.503998505955664
"DMstrong",125,10,"MN",TRUE,0.108271264270196,NA,0.292,0.36,0.348
"DMstrong",125,10,"DM",TRUE,0.0908861853130485,0.101635033451844,0.279275132209055,0.347981142406065,0.372743725384879
"MN",250,10,"MN",TRUE,0.0163299316185545,NA,0.2,0.28,0.52
"MN",250,10,"DM",TRUE,0.0163327831269103,8908.83756769382,0.199999073596418,0.279996970847646,0.520003955555937
"DMstrong",250,10,"MN",TRUE,0.169493362701906,NA,0.218,0.498,0.284
"DMstrong",250,10,"DM",TRUE,0.165863018903594,0.209528060599146,0.216996919903622,0.494107413840297,0.288895666256081
"MN",25,11,"MN",TRUE,0.0432049379893857,NA,0.24,0.24,0.52
"MN",25,11,"DM",TRUE,0.0425795432018777,3.27592684097095,0.241445757980536,0.241445743715415,0.51710849830405
"DMstrong",25,11,"MN",TRUE,0.0653197264742181,NA,0.12,0.38,0.5
"DMstrong",25,11,"DM",TRUE,0.0653180114808999,7170.40367201593,0.120004096635426,0.37999989562746,0.499996007737113
"MN",125,11,"MN",TRUE,0.0163299316185545,NA,0.2,0.32,0.48
"MN",125,11,"DM",TRUE,0.0163282410564476,7921.23057758814,0.199996610035637,0.319999624259417,0.480003765704946
"DMstrong",125,11,"MN",TRUE,0.0326598632371091,NA,0.2,0.26,0.54
"DMstrong",125,11,"DM",TRUE,0.0326104551753483,3.71983401446334,0.199185360085085,0.260474063748229,0.540340576166686
"MN",250,11,"MN",TRUE,0.0269814751264641,NA,0.216,0.262,0.522
"MN",250,11,"DM",TRUE,0.0269827016496257,1850.89369766315,0.215997715138237,0.261998573953567,0.522003710908196
"DMstrong",250,11,"MN",TRUE,0.0871932719116943,NA,0.082,0.328,0.59
"DMstrong",250,11,"DM",TRUE,0.0926184932451893,0.210068895418127,0.073907016524132,0.332343111221619,0.593749872254249
"MN",25,12,"MN",TRUE,0.0864098759787715,NA,0.28,0.18,0.54
"MN",25,12,"DM",TRUE,0.0849299031524432,7.28137539570807,0.278832346811669,0.182106259759123,0.539061393429208
"DMstrong",25,12,"MN",TRUE,0.0993310961716756,NA,0.28,0.36,0.36
