"example_id","inp_file","design_block","dist_code","factor1","level1_code","factor2","level2_code","factor3","level3_code","factor4","level4_code","K","G","h","theta_true","theta_CV","Nmin","Nmax","nsims","random.seed","od_mult","sigma","mean_nsamp","ln_sd","nb_size","p_lbound","p_ubound"
61,"hake_ex61.inp","Poisson",1,"mean_nsamp",1,"sigma",-1,"theta_true",1,"G",-1,3,2,0.1,2,0,50,100,5,2057960418,1,0.25,100,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
62,"hake_ex62.inp","Poisson",1,"mean_nsamp",1,"sigma",-1,"theta_true",1,"G",0,3,4,0.1,2,0,50,100,5,2057960418,1,0.25,100,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
63,"hake_ex63.inp","Poisson",1,"mean_nsamp",1,"sigma",-1,"theta_true",1,"G",1,3,8,0.1,2,0,50,100,5,2057960418,1,0.25,100,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
64,"hake_ex64.inp","Poisson",1,"mean_nsamp",1,"sigma",0,"theta_true",-1,"G",-1,3,2,0.1,0.5,0,50,100,5,2057960418,1,0.5,100,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
65,"hake_ex65.inp","Poisson",1,"mean_nsamp",1,"sigma",0,"theta_true",-1,"G",0,3,4,0.1,0.5,0,50,100,5,2057960418,1,0.5,100,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
66,"hake_ex66.inp","Poisson",1,"mean_nsamp",1,"sigma",0,"theta_true",-1,"G",1,3,8,0.1,0.5,0,50,100,5,2057960418,1,0.5,100,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
67,"hake_ex67.inp","Poisson",1,"mean_nsamp",1,"sigma",0,"theta_true",0,"G",-1,3,2,0.1,1,0,50,100,5,2057960418,1,0.5,100,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
68,"hake_ex68.inp","Poisson",1,"mean_nsamp",1,"sigma",0,"theta_true",0,"G",0,3,4,0.1,1,0,50,100,5,2057960418,1,0.5,100,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
69,"hake_ex69.inp","Poisson",1,"mean_nsamp",1,"sigma",0,"theta_true",0,"G",1,3,8,0.1,1,0,50,100,5,2057960418,1,0.5,100,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
70,"hake_ex70.inp","Poisson",1,"mean_nsamp",1,"sigma",0,"theta_true",1,"G",-1,3,2,0.1,2,0,50,100,5,2057960418,1,0.5,100,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
