"experiment","file","distribution","rmse_best","l1_best","linf_best","rmse_i","rmse_ii","rmse_iii","rmse_iv","rmse_v","l1_i","l1_ii","l1_iii","l1_iv","l1_v","linf_i","linf_ii","linf_iii","linf_iv","linf_v","rmse_friedman_chisq","rmse_friedman_df","rmse_friedman_p","rmse_kendall_w","rmse_anova_f","rmse_anova_p","l1_friedman_chisq","l1_friedman_df","l1_friedman_p","l1_kendall_w","l1_anova_f","l1_anova_p","linf_friedman_chisq","linf_friedman_df","linf_friedman_p","linf_kendall_w","linf_anova_f","linf_anova_p"
11,"hake_ex11.lst","Poisson","(ii)","(ii)","(ii)",NA,0.074,1,1,1,NA,0.1,0.801,1,1,NA,0.1,0.801,1,1,16.578,4,NA,NA,NA,NA,15.077,4,NA,NA,NA,NA,15.077,4,NA,NA,NA,NA
12,"hake_ex12.lst","Poisson","(ii)","(ii)","(ii)",NA,0.025,1,1,0.972,NA,0.034,0.914,1,1,NA,0.034,0.914,1,1,9.5754,4,NA,NA,NA,NA,7.8523,4,NA,NA,NA,NA,7.8523,4,NA,NA,NA,NA
13,"hake_ex13.lst","Poisson","(iii)","(ii)","(ii)",NA,1,0.93,1,1,NA,1,1,1,1,NA,1,1,1,1,5.5015,4,NA,NA,NA,NA,2.3754,4,NA,NA,NA,NA,2.3754,4,NA,NA,NA,NA
14,"hake_ex14.lst","Poisson","(iii)","(iii)","(iii)",NA,0.547,0.111,1,1,NA,0.372,0.29,1,1,NA,0.372,0.29,1,1,8.96,4,NA,NA,NA,NA,10.991,4,NA,NA,NA,NA,10.991,4,NA,NA,NA,NA
15,"hake_ex15.lst","Poisson","(ii)","(ii)","(ii)",NA,0.064,1,1,1,NA,0.072,0.952,1,0.781,NA,0.072,0.952,1,0.781,12.074,4,NA,NA,NA,NA,15.003,4,NA,NA,NA,NA,15.003,4,NA,NA,NA,NA
16,"hake_ex16.lst","Poisson","(iii)","(iii)","(iii)",NA,0.464,0.066,1,1,NA,0.861,0.147,1,1,NA,0.861,0.147,1,1,9.8092,4,NA,NA,NA,NA,11.188,4,NA,NA,NA,NA,11.188,4,NA,NA,NA,NA
17,"hake_ex17.lst","Poisson","(ii)","(ii)","(ii)",NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,4.7631,4,NA,NA,NA,NA,3.1631,4,NA,NA,NA,NA,3.1631,4,NA,NA,NA,NA
18,"hake_ex18.lst","Poisson","(ii)","(ii)","(ii)",NA,0.00201,0.08873,0.29767,0.29767,NA,0.00646,0.06863,0.18213,0.18612,NA,0.00646,0.06863,0.18213,0.18612,28.677,4,NA,NA,NA,NA,25.342,4,NA,NA,NA,NA,25.342,4,NA,NA,NA,NA
19,"hake_ex19.lst","Poisson","(v)","(v)","(v)",NA,0.829,0.829,0.392,0.299,NA,1,0.892,1,0.377,NA,1,0.892,1,0.377,15.348,4,NA,NA,NA,NA,9.44,4,NA,NA,NA,NA,9.44,4,NA,NA,NA,NA
20,"hake_ex20.lst","Poisson","(ii)","(ii)","(ii)",NA,0.097,1,1,1,NA,0.162,1,1,1,NA,0.162,1,1,1,6.8431,4,NA,NA,NA,NA,4.2954,4,NA,NA,NA,NA,4.2954,4,NA,NA,NA,NA
21,"hake_ex21.lst","Poisson","(ii)","(ii)","(ii)",NA,0.00202,0.00568,0.5038,0.71928,NA,0.00224,0.01295,0.48591,0.68536,NA,0.00224,0.01295,0.48591,0.68536,27.582,4,NA,NA,NA,NA,26.449,4,NA,NA,NA,NA,26.449,4,NA,NA,NA,NA
22,"hake_ex22.lst","Poisson","(ii)","(iv)","(iv)",NA,0.19,1,0.34,1,NA,0.17,1,0.15,1,NA,0.17,1,0.15,1,6.88,4,NA,NA,NA,NA,9.6862,4,NA,NA,NA,NA,9.6862,4,NA,NA,NA,NA
23,"hake_ex23.lst","Poisson","(ii)","(ii)","(ii)",NA,0.29,0.29,0.641,0.525,NA,0.264,0.465,1,0.528,NA,0.264,0.465,1,0.528,8.2338,4,NA,NA,NA,NA,13.268,4,NA,NA,NA,NA,13.268,4,NA,NA,NA,NA
24,"hake_ex24.lst","Poisson","(iii)","(iii)","(iii)",NA,0.2393,0.0144,0.2869,0.4763,NA,0.3286,0.0089,0.3286,0.4329,NA,0.3286,0.0089,0.3286,0.4329,19.668,4,NA,NA,NA,NA,18.449,4,NA,NA,NA,NA,18.449,4,NA,NA,NA,NA
25,"hake_ex25.lst","Poisson","(ii)","(ii)","(ii)",NA,0.11,1,0.97,0.21,NA,0.095,1,1,0.216,NA,0.095,1,1,0.216,10.252,4,NA,NA,NA,NA,9.0215,4,NA,NA,NA,NA,9.0215,4,NA,NA,NA,NA
26,"hake_ex26.lst","Poisson","(ii)","(ii)","(ii)",NA,0.11,1,1,1,NA,0.21,1,1,1,NA,0.21,1,1,1,11.126,4,NA,NA,NA,NA,7.7538,4,NA,NA,NA,NA,7.7538,4,NA,NA,NA,NA
27,"hake_ex27.lst","Poisson","(ii)","(ii)","(ii)",NA,0.069,1,1,0.212,NA,0.072,1,1,0.202,NA,0.072,1,1,0.202,11.458,4,NA,NA,NA,NA,12.135,4,NA,NA,NA,NA,12.135,4,NA,NA,NA,NA
28,"hake_ex28.lst","Poisson","(ii)","(ii)","(ii)",NA,0.7,1,1,1,NA,0.59,1,1,0.73,NA,0.59,1,1,0.73,2.5354,4,NA,NA,NA,NA,1.3908,4,NA,NA,NA,NA,1.3908,4,NA,NA,NA,NA
29,"hake_ex29.lst","Poisson","(iii)","(iii)","(iii)",NA,0.303,0.068,0.485,0.777,NA,0.34,0.13,0.34,0.43,NA,0.34,0.13,0.34,0.43,7.1262,4,NA,NA,NA,NA,5.0215,4,NA,NA,NA,NA,5.0215,4,NA,NA,NA,NA
30,"hake_ex30.lst","Poisson","(ii)","(ii)","(ii)",NA,0.01,0.076,0.171,0.141,NA,0.0071,0.0433,0.0767,0.0433,NA,0.0071,0.0433,0.0767,0.0433,23.151,4,NA,NA,NA,NA,29.354,4,NA,NA,NA,NA,29.354,4,NA,NA,NA,NA
31,"hake_ex31.lst","Poisson","(ii)","(ii)","(ii)",NA,0.023,1,1,1,NA,0.03,1,1,1,NA,0.03,1,1,1,9.2923,4,NA,NA,NA,NA,8.8615,4,NA,NA,NA,NA,8.8615,4,NA,NA,NA,NA
32,"hake_ex32.lst","Poisson","(iii)","(iii)","(iii)",NA,1,0.6166,1,1,NA,1,0.5914,1,1,NA,1,0.5914,1,1,19.003,4,NA,NA,NA,NA,16.702,4,NA,NA,NA,NA,16.702,4,NA,NA,NA,NA
33,"hake_ex33.lst","Poisson","(ii)","(ii)","(ii)",NA,0.0064,1,1,1,NA,0.0039,1,1,1,NA,0.0039,1,1,1,18.24,4,NA,NA,NA,NA,18.166,4,NA,NA,NA,NA,18.166,4,NA,NA,NA,NA
34,"hake_ex34.lst","Poisson","(ii)","(ii)","(ii)",NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,2.2277,4,NA,NA,NA,NA,0.89846,4,NA,NA,NA,NA,0.89846,4,NA,NA,NA,NA
35,"hake_ex35.lst","Poisson","(iii)","(iii)","(iii)",NA,1,0.033,0.273,0.205,NA,1,0.036,0.269,0.117,NA,1,0.036,0.269,0.117,9.5385,4,NA,NA,NA,NA,9.5385,4,NA,NA,NA,NA,9.5385,4,NA,NA,NA,NA
36,"hake_ex36.lst","Poisson","(ii)","(ii)","(ii)",NA,0.00098,1,1,1,NA,0.00069,1,1,1,NA,0.00069,1,1,1,24.246,4,NA,NA,NA,NA,25.071,4,NA,NA,NA,NA,25.071,4,NA,NA,NA,NA
37,"hake_ex37.lst","Poisson","(ii)","(ii)","(ii)",NA,0.85,0.85,1,1,NA,1,1,1,1,NA,1,1,1,1,3.68,4,NA,NA,NA,NA,2.1785,4,NA,NA,NA,NA,2.1785,4,NA,NA,NA,NA
38,"hake_ex38.lst","Poisson","(ii)","(ii)","(ii)",NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,5.6985,4,NA,NA,NA,NA,5.3662,4,NA,NA,NA,NA,5.3662,4,NA,NA,NA,NA
39,"hake_ex39.lst","Poisson","(ii)","(ii)","(ii)",NA,0.0066,1,1,0.3774,NA,0.0081,0.9126,0.8083,0.2977,NA,0.0081,0.9126,0.8083,0.2977,17.268,4,NA,NA,NA,NA,19.803,4,NA,NA,NA,NA,19.803,4,NA,NA,NA,NA
40,"hake_ex40.lst","Poisson","(ii)","(ii)","(ii)",NA,0.27,0.88,0.7,0.88,NA,0.25,1,0.34,0.54,NA,0.25,1,0.34,0.54,6.56,4,NA,NA,NA,NA,9.3292,4,NA,NA,NA,NA,9.3292,4,NA,NA,NA,NA
41,"hake_ex41.lst","Poisson","(ii)","(ii)","(ii)",NA,0.07,1,1,1,NA,0.107,1,1,1,NA,0.107,1,1,1,11.212,4,NA,NA,NA,NA,6.9169,4,NA,NA,NA,NA,6.9169,4,NA,NA,NA,NA
42,"hake_ex42.lst","Poisson","(ii)","(ii)","(ii)",NA,0.35,1,1,1,NA,0.44,1,1,1,NA,0.44,1,1,1,7.7046,4,NA,NA,NA,NA,6.2523,4,NA,NA,NA,NA,6.2523,4,NA,NA,NA,NA
43,"hake_ex43.lst","Poisson","(v)","(v)","(v)",NA,0.107,0.765,0.163,0.072,NA,0.302,0.474,0.319,0.075,NA,0.302,0.474,0.319,0.075,10.671,4,NA,NA,NA,NA,6.4,4,NA,NA,NA,NA,6.4,4,NA,NA,NA,NA
44,"hake_ex44.lst","Poisson","(ii)","(ii)","(ii)",NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,2.24,4,NA,NA,NA,NA,2.3877,4,NA,NA,NA,NA,2.3877,4,NA,NA,NA,NA
45,"hake_ex45.lst","Poisson","(ii)","(ii)","(ii)",NA,0.262,1,1,0.937,NA,0.181,1,1,1,NA,0.181,1,1,1,12.074,4,NA,NA,NA,NA,17.514,4,NA,NA,NA,NA,17.514,4,NA,NA,NA,NA
46,"hake_ex46.lst","Poisson","(ii)","(ii)","(ii)",NA,0.00069,1,1,1,NA,0.00041,1,1,1,NA,0.00041,1,1,1,24.332,4,NA,NA,NA,NA,24.468,4,NA,NA,NA,NA,24.468,4,NA,NA,NA,NA
47,"hake_ex47.lst","Poisson","(iv)","(v)","(v)",NA,0.592,0.592,0.029,0.031,NA,0.665,0.665,0.141,0.038,NA,0.665,0.665,0.141,0.038,9.7846,4,NA,NA,NA,NA,8.0123,4,NA,NA,NA,NA,8.0123,4,NA,NA,NA,NA
48,"hake_ex48.lst","Poisson","(iii)","(iii)","(iii)",NA,0.0112,0.01118,1,1,NA,0.0184,0.0078,0.516,0.9583,NA,0.0184,0.0078,0.516,0.9583,19.963,4,NA,NA,NA,NA,21.046,4,NA,NA,NA,NA,21.046,4,NA,NA,NA,NA
49,"hake_ex49.lst","Poisson","(ii)","(ii)","(ii)",NA,0.112,1,1,1,NA,0.088,1,1,1,NA,0.088,1,1,1,15.348,4,NA,NA,NA,NA,13.231,4,NA,NA,NA,NA,13.231,4,NA,NA,NA,NA
50,"hake_ex50.lst","Poisson","(ii)","(ii)","(ii)",NA,0.214,1,1,1,NA,0.28,1,1,1,NA,0.28,1,1,1,6.1169,4,NA,NA,NA,NA,5.0954,4,NA,NA,NA,NA,5.0954,4,NA,NA,NA,NA
51,"hake_ex51.lst","Poisson","(ii)","(ii)","(ii)",NA,0.00056,0.34133,1,1,NA,0.00096,0.57638,0.76953,0.61463,NA,0.00096,0.57638,0.76953,0.61463,30.929,4,NA,NA,NA,NA,27.582,4,NA,NA,NA,NA,27.582,4,NA,NA,NA,NA
52,"hake_ex52.lst","Poisson","(ii)","(iv)","(iv)",NA,0.171,0.243,0.203,0.61,NA,0.17,0.22,0.1,0.85,NA,0.17,0.22,0.1,0.85,8.5785,4,NA,NA,NA,NA,14.548,4,NA,NA,NA,NA,14.548,4,NA,NA,NA,NA
53,"hake_ex53.lst","Poisson","(ii)","(ii)","(ii)",NA,0.26,1,1,1,NA,0.39,1,1,1,NA,0.39,1,1,1,10.597,4,NA,NA,NA,NA,9.12,4,NA,NA,NA,NA,9.12,4,NA,NA,NA,NA
54,"hake_ex54.lst","Poisson","(iii)","(iii)","(iii)",NA,0.17948,0.00025,0.00437,0.5477,NA,0.2988,3.5e-05,3e-04,0.41028,NA,0.2988,3.5e-05,3e-04,0.41028,30.462,4,NA,NA,NA,NA,40.775,4,NA,NA,NA,NA,40.775,4,NA,NA,NA,NA
55,"hake_ex55.lst","Poisson","(iii)","(iii)","(iii)",NA,0.493,0.3659,1,1,NA,0.49799,0.36432,1,1,NA,0.49799,0.36432,1,1,14.006,4,NA,NA,NA,NA,12.357,4,NA,NA,NA,NA,12.357,4,NA,NA,NA,NA
56,"hake_ex56.lst","Poisson","(v)","(v)","(v)",NA,0.01022,0.00091,0.00141,0.00027,NA,0.01196,0.00091,0.00213,0.00031,NA,0.01196,0.00091,0.00213,0.00031,19.114,4,NA,NA,NA,NA,19.36,4,NA,NA,NA,NA,19.36,4,NA,NA,NA,NA
57,"hake_ex57.lst","Poisson","(iv)","(iv)","(iv)",NA,0.49,1,0.45,1,NA,0.39,1,0.18,1,NA,0.39,1,0.18,1,9.1446,4,NA,NA,NA,NA,12.628,4,NA,NA,NA,NA,12.628,4,NA,NA,NA,NA
58,"hake_ex58.lst","Poisson","(iii)","(ii)","(ii)",NA,0.52461,0.33819,0.66625,0.54107,NA,0.24104,0.35644,0.8355,0.57365,NA,0.24104,0.35644,0.8355,0.57365,14.055,4,NA,NA,NA,NA,20.886,4,NA,NA,NA,NA,20.886,4,NA,NA,NA,NA
59,"hake_ex59.lst","Poisson","(iii)","(iii)","(iii)",NA,0.3122,0.0016,0.0016,0.0016,NA,0.26958,0.00084,0.00158,0.00158,NA,0.26958,0.00084,0.00158,0.00158,27.286,4,NA,NA,NA,NA,26.294,4,NA,NA,NA,NA,26.294,4,NA,NA,NA,NA
60,"hake_ex60.lst","Poisson","(ii)","(ii)","(ii)",NA,0.071,1,1,1,NA,0.049,1,0.86,0.631,NA,0.049,1,0.86,0.631,9.1692,4,NA,NA,NA,NA,11.36,4,NA,NA,NA,NA,11.36,4,NA,NA,NA,NA
61,"hake_ex61.lst","Poisson","(iii)","(iii)","(iii)",NA,0.87,0.041,0.392,0.561,NA,0.958,0.029,0.264,0.598,NA,0.958,0.029,0.264,0.598,7.6062,4,NA,NA,NA,NA,8.2215,4,NA,NA,NA,NA,8.2215,4,NA,NA,NA,NA
62,"hake_ex62.lst","Poisson","(iii)","(iv)","(iv)",NA,0.9684,0.00032,5e-04,0.00035,NA,0.98961,0.00031,0.00026,0.00027,NA,0.98961,0.00031,0.00026,0.00027,35.705,4,NA,NA,NA,NA,33.612,4,NA,NA,NA,NA,33.612,4,NA,NA,NA,NA
63,"hake_ex63.lst","Poisson","(ii)","(ii)","(ii)",NA,0.12,1,1,0.52,NA,0.11,1,1,0.37,NA,0.11,1,1,0.37,12.209,4,NA,NA,NA,NA,11.003,4,NA,NA,NA,NA,11.003,4,NA,NA,NA,NA
64,"hake_ex64.lst","Poisson","(ii)","(ii)","(ii)",NA,0.02767,0.4404,1,1,NA,0.0174,0.1893,1,1,NA,0.0174,0.1893,1,1,14.289,4,NA,NA,NA,NA,17.957,4,NA,NA,NA,NA,17.957,4,NA,NA,NA,NA
65,"hake_ex65.lst","Poisson","(v)","(v)","(v)",NA,1,0.3721,0.2732,0.0416,NA,1,0.183,0.192,0.033,NA,1,0.183,0.192,0.033,19.963,4,NA,NA,NA,NA,16.209,4,NA,NA,NA,NA,16.209,4,NA,NA,NA,NA
66,"hake_ex66.lst","Poisson","(ii)","(ii)","(ii)",NA,0.00012,0.41478,0.9323,0.60074,NA,0.00016,0.33327,0.91673,0.41444,NA,0.00016,0.33327,0.91673,0.41444,34.917,4,NA,NA,NA,NA,35.298,4,NA,NA,NA,NA,35.298,4,NA,NA,NA,NA
67,"hake_ex67.lst","Poisson","(ii)","(ii)","(ii)",NA,0.277,1,1,0.867,NA,0.155,1,0.917,1,NA,0.155,1,0.917,1,15.151,4,NA,NA,NA,NA,17.637,4,NA,NA,NA,NA,17.637,4,NA,NA,NA,NA
68,"hake_ex68.lst","Poisson","(v)","(v)","(v)",NA,1,0.923,1,0.377,NA,1,0.665,1,0.256,NA,1,0.665,1,0.256,7.3477,4,NA,NA,NA,NA,5.3292,4,NA,NA,NA,NA,5.3292,4,NA,NA,NA,NA
69,"hake_ex69.lst","Poisson","(ii)","(ii)","(ii)",NA,0.0042,1,1,1,NA,0.0049,1,1,1,NA,0.0049,1,1,1,13.329,4,NA,NA,NA,NA,15.2,4,NA,NA,NA,NA,15.2,4,NA,NA,NA,NA
70,"hake_ex70.lst","Poisson","(ii)","(ii)","(ii)",NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,2.1292,4,NA,NA,NA,NA,2.5969,4,NA,NA,NA,NA,2.5969,4,NA,NA,NA,NA
71,"hake_ex71.lst","Poisson","(iii)","(iii)","(iii)",NA,0.43746,0.07859,0.17116,0.12421,NA,0.49206,0.04775,0.16302,0.14497,NA,0.49206,0.04775,0.16302,0.14497,32.222,4,NA,NA,NA,NA,31.126,4,NA,NA,NA,NA,31.126,4,NA,NA,NA,NA
72,"hake_ex72.lst","Poisson","(ii)","(ii)","(ii)",NA,5.6e-07,1,1,1,NA,6.1e-07,1,1,1,NA,6.1e-07,1,1,1,48.702,4,NA,NA,NA,NA,49.034,4,NA,NA,NA,NA,49.034,4,NA,NA,NA,NA
73,"hake_ex73.lst","Poisson","(ii)","(ii)","(ii)",NA,0.51,1,1,1,NA,0.366,1,0.68,1,NA,0.366,1,0.68,1,11.36,4,NA,NA,NA,NA,12.443,4,NA,NA,NA,NA,12.443,4,NA,NA,NA,NA
74,"hake_ex74.lst","Poisson","(ii)","(ii)","(ii)",NA,0.083,1,1,1,NA,0.12,1,1,1,NA,0.12,1,1,1,11.754,4,NA,NA,NA,NA,9.5015,4,NA,NA,NA,NA,9.5015,4,NA,NA,NA,NA
75,"hake_ex75.lst","Poisson","(ii)","(ii)","(ii)",NA,0.00302,0.01504,0.32377,0.9531,NA,0.00448,0.00916,0.65038,0.65038,NA,0.00448,0.00916,0.65038,0.65038,34.031,4,NA,NA,NA,NA,34.105,4,NA,NA,NA,NA,34.105,4,NA,NA,NA,NA
76,"hake_ex76.lst","Poisson","(ii)","(ii)","(ii)",NA,0.0017,0.3282,0.5614,0.6288,NA,0.0013,0.1863,0.3036,0.6558,NA,0.0013,0.1863,0.3036,0.6558,16.283,4,NA,NA,NA,NA,19.065,4,NA,NA,NA,NA,19.065,4,NA,NA,NA,NA
77,"hake_ex77.lst","Poisson","(ii)","(ii)","(ii)",NA,0.055,0.656,0.705,0.806,NA,0.085,0.767,0.834,0.874,NA,0.085,0.767,0.834,0.874,14.375,4,NA,NA,NA,NA,12.32,4,NA,NA,NA,NA,12.32,4,NA,NA,NA,NA
78,"hake_ex78.lst","Poisson","(iii)","(iii)","(iii)",NA,0.0541,0.0182,0.1575,0.4484,NA,0.0431,0.0077,0.0984,0.4563,NA,0.0431,0.0077,0.0984,0.4563,19.668,4,NA,NA,NA,NA,24.025,4,NA,NA,NA,NA,24.025,4,NA,NA,NA,NA
79,"hake_ex79.lst","Poisson","(ii)","(ii)","(ii)",NA,0.022,0.205,0.15,0.205,NA,0.025,0.535,0.535,0.535,NA,0.025,0.535,0.535,0.535,20.431,4,NA,NA,NA,NA,11.705,4,NA,NA,NA,NA,11.705,4,NA,NA,NA,NA
80,"hake_ex80.lst","Poisson","(ii)","(ii)","(ii)",NA,0.02,1,1,1,NA,0.015,1,1,1,NA,0.015,1,1,1,8.7754,4,NA,NA,NA,NA,9.4277,4,NA,NA,NA,NA,9.4277,4,NA,NA,NA,NA
81,"hake_ex81.lst","Poisson","(iii)","(iii)","(iii)",NA,0.00244,0.00027,0.00577,0.47627,NA,0.00267,0.00018,0.00501,0.3812,NA,0.00267,0.00018,0.00501,0.3812,34.129,4,NA,NA,NA,NA,37.723,4,NA,NA,NA,NA,37.723,4,NA,NA,NA,NA
82,"hake_ex82.lst","Lognormal","(ii)","(ii)","(ii)",NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,2.251,4,NA,NA,NA,NA,2.3002,4,NA,NA,NA,NA,2.3002,4,NA,NA,NA,NA
83,"hake_ex83.lst","Lognormal","(iii)","(ii)","(ii)",NA,1,0.98,1,1,NA,1,1,1,1,NA,1,1,1,1,4.4062,4,NA,NA,NA,NA,3.8769,4,NA,NA,NA,NA,3.8769,4,NA,NA,NA,NA
84,"hake_ex84.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.07,1,1,1,NA,0.096,1,1,1,NA,0.096,1,1,1,8.7015,4,NA,NA,NA,NA,10.129,4,NA,NA,NA,NA,10.129,4,NA,NA,NA,NA
85,"hake_ex85.lst","Lognormal","(iii)","(iii)","(iii)",NA,1,0.155,1,1,NA,1,0.061,1,1,NA,1,0.061,1,1,17.083,4,NA,NA,NA,NA,22.363,4,NA,NA,NA,NA,22.363,4,NA,NA,NA,NA
86,"hake_ex86.lst","Lognormal","(iii)","(ii)","(ii)",NA,1,0.63,1,1,NA,1,1,1,1,NA,1,1,1,1,4.3446,4,NA,NA,NA,NA,4,4,NA,NA,NA,NA,4,4,NA,NA,NA,NA
87,"hake_ex87.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.0029,1,1,1,NA,0.005,1,1,1,NA,0.005,1,1,1,16.689,4,NA,NA,NA,NA,15.852,4,NA,NA,NA,NA,15.852,4,NA,NA,NA,NA
88,"hake_ex88.lst","Lognormal","(ii)","(ii)","(ii)",NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,2.3138,4,NA,NA,NA,NA,2.1538,4,NA,NA,NA,NA,2.1538,4,NA,NA,NA,NA
89,"hake_ex89.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.02,1,0.87,1,NA,0.015,0.948,0.314,0.8,NA,0.015,0.948,0.314,0.8,16.972,4,NA,NA,NA,NA,17.809,4,NA,NA,NA,NA,17.809,4,NA,NA,NA,NA
90,"hake_ex90.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.0057,1,0.6798,1,NA,0.0039,1,0.9896,1,NA,0.0039,1,0.9896,1,16.862,4,NA,NA,NA,NA,21.575,4,NA,NA,NA,NA,21.575,4,NA,NA,NA,NA
91,"hake_ex91.lst","Lognormal","(ii)","(iii)","(iii)",NA,0.2325,0.3513,0.3885,0.6735,NA,0.4653,0.3715,1,1,NA,0.4653,0.3715,1,1,19.188,4,NA,NA,NA,NA,22.474,4,NA,NA,NA,NA,22.474,4,NA,NA,NA,NA
92,"hake_ex92.lst","Lognormal","(iv)","(ii)","(ii)",NA,0.0379,0.7291,0.031,0.3359,NA,0.0627,0.7787,0.0647,0.4686,NA,0.0627,0.7787,0.0647,0.4686,24.222,4,NA,NA,NA,NA,24.972,4,NA,NA,NA,NA,24.972,4,NA,NA,NA,NA
93,"hake_ex93.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.0038,0.5508,1,1,NA,0.003,0.1893,0.446,0.4948,NA,0.003,0.1893,0.446,0.4948,18.363,4,NA,NA,NA,NA,18.991,4,NA,NA,NA,NA,18.991,4,NA,NA,NA,NA
94,"hake_ex94.lst","Lognormal","(ii)","(iii)","(iii)",NA,1,1,1,1,NA,1,0.87,1,1,NA,1,0.87,1,1,5.44,4,NA,NA,NA,NA,5.8092,4,NA,NA,NA,NA,5.8092,4,NA,NA,NA,NA
95,"hake_ex95.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.00027,1,1,1,NA,2e-04,1,0.2648,0.9579,NA,2e-04,1,0.2648,0.9579,24.012,4,NA,NA,NA,NA,27.889,4,NA,NA,NA,NA,27.889,4,NA,NA,NA,NA
96,"hake_ex96.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.038,0.902,0.902,0.472,NA,0.055,1,1,0.695,NA,0.055,1,1,0.695,16.898,4,NA,NA,NA,NA,14.56,4,NA,NA,NA,NA,14.56,4,NA,NA,NA,NA
97,"hake_ex97.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.416,1,1,1,NA,0.3,1,0.58,0.58,NA,0.3,1,0.58,0.58,7.2,4,NA,NA,NA,NA,10.326,4,NA,NA,NA,NA,10.326,4,NA,NA,NA,NA
98,"hake_ex98.lst","Lognormal","(ii)","(iii)","(iii)",NA,1,1,1,1,NA,1,0.68,1,1,NA,1,0.68,1,1,4.9969,4,NA,NA,NA,NA,6.9169,4,NA,NA,NA,NA,6.9169,4,NA,NA,NA,NA
