"experiment","file","distribution","rmse_best","l1_best","linf_best","rmse_i","rmse_ii","rmse_iii","rmse_iv","rmse_v","l1_i","l1_ii","l1_iii","l1_iv","l1_v","linf_i","linf_ii","linf_iii","linf_iv","linf_v","rmse_friedman_chisq","rmse_friedman_df","rmse_friedman_p","rmse_kendall_w","rmse_anova_f","rmse_anova_p","l1_friedman_chisq","l1_friedman_df","l1_friedman_p","l1_kendall_w","l1_anova_f","l1_anova_p","linf_friedman_chisq","linf_friedman_df","linf_friedman_p","linf_kendall_w","linf_anova_f","linf_anova_p"
31,"hake_ex31.lst","Poisson","(iii)","(iii)","(iii)",NA,0.01359,0.00779,0.6678,0.58425,NA,0.0144,0.0092,0.9111,0.9111,NA,0.0144,0.0092,0.9111,0.9111,26.034,4,NA,NA,NA,NA,29.704,4,NA,NA,NA,NA,29.704,4,NA,NA,NA,NA
32,"hake_ex32.lst","Poisson","(iv)","(iv)","(iv)",NA,0.80634,1.1e-05,4.8e-07,0.00012,NA,0.95,1e-05,1.4e-06,9.6e-05,NA,0.95,1e-05,1.4e-06,9.6e-05,51.324,4,NA,NA,NA,NA,51.377,4,NA,NA,NA,NA,51.377,4,NA,NA,NA,NA
33,"hake_ex33.lst","Poisson","(ii)","(ii)","(ii)",NA,0.00019,1,1,1,NA,0.00015,1,1,1,NA,0.00015,1,1,1,31.028,4,NA,NA,NA,NA,31.333,4,NA,NA,NA,NA,31.333,4,NA,NA,NA,NA
34,"hake_ex34.lst","Poisson","(iii)","(iii)","(iii)",NA,0.02683,0.00635,0.80688,0.37708,NA,0.0291,0.0193,1,0.6245,NA,0.0291,0.0193,1,0.6245,27.959,4,NA,NA,NA,NA,22.434,4,NA,NA,NA,NA,22.434,4,NA,NA,NA,NA
35,"hake_ex35.lst","Poisson","(iii)","(iii)","(iii)",NA,0.35,1e-09,2.8e-09,3.6e-07,NA,0.37,7.8e-10,2e-09,1.7e-08,NA,0.37,7.8e-10,2e-09,1.7e-08,65.212,4,NA,NA,NA,NA,68.036,4,NA,NA,NA,NA,68.036,4,NA,NA,NA,NA
36,"hake_ex36.lst","Poisson","(ii)","(ii)","(ii)",NA,0.012,0.021,0.06,0.071,NA,0.013,0.023,0.473,0.113,NA,0.013,0.023,0.473,0.113,36.979,4,NA,NA,NA,NA,43.101,4,NA,NA,NA,NA,43.101,4,NA,NA,NA,NA
37,"hake_ex37.lst","Poisson","(ii)","(ii)","(ii)",NA,1.5e-08,0.22,0.798,0.798,NA,1.6e-08,0.336,0.71,0.71,NA,1.6e-08,0.336,0.71,0.71,64.405,4,NA,NA,NA,NA,59.913,4,NA,NA,NA,NA,59.913,4,NA,NA,NA,NA
38,"hake_ex38.lst","Poisson","(ii)","(ii)","(ii)",NA,3.5e-05,0.86,1,1,NA,4.6e-05,0.81,1,1,NA,4.6e-05,0.81,1,1,58.327,4,NA,NA,NA,NA,52.55,4,NA,NA,NA,NA,52.55,4,NA,NA,NA,NA
39,"hake_ex39.lst","Poisson","(ii)","(ii)","(ii)",NA,4.4e-08,0.1747,1,1,NA,1.6e-08,0.0985,0.6954,0.9494,NA,1.6e-08,0.0985,0.6954,0.9494,50.965,4,NA,NA,NA,NA,59.11,4,NA,NA,NA,NA,59.11,4,NA,NA,NA,NA
40,"hake_ex40.lst","Poisson","(ii)","(ii)","(ii)",NA,0.00022,0.11538,0.47631,0.82748,NA,0.00012,0.10264,1,1,NA,0.00012,0.10264,1,1,33.617,4,NA,NA,NA,NA,31.922,4,NA,NA,NA,NA,31.922,4,NA,NA,NA,NA
