"example_id","inp_file","design_block","dist_code","factor1","level1_code","factor2","level2_code","factor3","level3_code","factor4","level4_code","factor5","level5_code","K","G","h","theta_true","theta_CV","Nmin","Nmax","nsims","random.seed","od_mult","sigma","mean_nsamp","ln_sd","nb_size","N_range_label","p_lbound","p_ubound"
52,"faces_ex52.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",1,"theta_CV",1,"G",-1,3,2,0.1,2,0.6,50,100,5,1078526260,1,0.5,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
53,"faces_ex53.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",1,"theta_CV",1,"G",0,3,4,0.1,2,0.6,50,100,5,1078526260,1,0.5,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
54,"faces_ex54.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",1,"theta_CV",1,"G",1,3,8,0.1,2,0.6,50,100,5,1078526260,1,0.5,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
55,"faces_ex55.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",-1,"theta_CV",-1,"G",-1,3,2,0.1,0.5,0,50,100,5,1078526260,1,1,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
56,"faces_ex56.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",-1,"theta_CV",-1,"G",0,3,4,0.1,0.5,0,50,100,5,1078526260,1,1,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
57,"faces_ex57.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",-1,"theta_CV",-1,"G",1,3,8,0.1,0.5,0,50,100,5,1078526260,1,1,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
58,"faces_ex58.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",-1,"theta_CV",0,"G",-1,3,2,0.1,0.5,0.2,50,100,5,1078526260,1,1,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
59,"faces_ex59.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",-1,"theta_CV",0,"G",0,3,4,0.1,0.5,0.2,50,100,5,1078526260,1,1,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
60,"faces_ex60.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",-1,"theta_CV",0,"G",1,3,8,0.1,0.5,0.2,50,100,5,1078526260,1,1,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
61,"faces_ex61.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",-1,"theta_CV",1,"G",-1,3,2,0.1,0.5,0.6,50,100,5,1078526260,1,1,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
62,"faces_ex62.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",-1,"theta_CV",1,"G",0,3,4,0.1,0.5,0.6,50,100,5,1078526260,1,1,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
