"mesh_id","sim_id","p1","p2","p3","rmse_i","p_hat_i_1","p_hat_i_2","p_hat_i_3","rmse_ii","p_hat_ii_1","p_hat_ii_2","p_hat_ii_3","rmse_iii","p_hat_iii_1","p_hat_iii_2","p_hat_iii_3","rmse_iv","p_hat_iv_1","p_hat_iv_2","p_hat_iv_3","rmse_v","p_hat_v_1","p_hat_v_2","p_hat_v_3","N1","X1_1","X1_2","X1_3","N2","X2_1","X2_2","X2_3"
2,1,0.869565217391304,0.0869565217391304,0.0434782608695652,0.0965710813497226,0.75093185448588,0.204869743481304,0.0441984020328164,0.131834601712452,0.71089610332418,0.251076852897169,0.0380270437786513,0.104194866961519,0.743714498121211,0.216259986168551,0.040025515710238,0.104669450860053,0.743421052631579,0.217105263157895,0.0394736842105263,0.103233689127826,0.743312112931669,0.213572498813872,0.0431153882544593,97,67,27,3,55,46,6,3
2,2,0.869565217391304,0.0869565217391304,0.0434782608695652,0.0131444537182862,0.853148721834596,0.10271718638599,0.0441340917794143,0.0318073538717892,0.904743661852139,0.0450893378052503,0.0501670003426106,0.0191248321752065,0.853106830957858,0.11377280578794,0.0331203632542022,0.0205810651131353,0.851239669421488,0.115702479338843,0.0330578512396694,0.0142409899235474,0.851934088058355,0.104202160535616,0.0438637514060289,118,108,4,6,124,98,24,2
2,3,0.869565217391304,0.0869565217391304,0.0434782608695652,0.0144272169303431,0.878347939606033,0.0985139764312841,0.023138083962683,0.0171556935098536,0.84545149754858,0.0966953833395273,0.0578531191118929,0.00786578976749462,0.877086077276293,0.0902942234481627,0.0326196992755439,0.00709055237162589,0.876404494382023,0.0898876404494382,0.0337078651685393,0.013860919388767,0.877143849820072,0.0988232228131594,0.0240329273667689,140,118,13,9,127,116,11,0
2,4,0.869565217391304,0.0869565217391304,0.0434782608695652,0.0532476684798785,0.941430334925023,0.0315425626321224,0.0270271024428544,0.0477746011747312,0.932013537305467,0.0333991067342343,0.0345873559602988,0.0530930122112603,0.94133388669231,0.0319607900028649,0.0267053233048248,0.0532564995036907,0.941441441441441,0.0315315315315315,0.027027027027027,0.0532562692959829,0.94144154580819,0.0315327118146651,0.0270257423771447,97,89,3,5,125,120,4,1
2,5,0.869565217391304,0.0869565217391304,0.0434782608695652,0.0261486801386477,0.857466302289469,0.123268867445492,0.0192648302650396,0.0473537510123344,0.821885047768186,0.151521508894836,0.0265934433369779,0.0258232524128171,0.859170288725416,0.122472621286863,0.0183570899877208,0.0260074846488588,0.859090909090909,0.122727272727273,0.0181818181818182,0.0255387991297289,0.858864348217538,0.122181091303907,0.0189545604785542,120,109,10,1,100,80,17,3
2,6,0.869565217391304,0.0869565217391304,0.0434782608695652,0.0380087908986595,0.919942392928888,0.045531942562092,0.0345256645090203,0.0480014585416609,0.925597248464339,0.0257513716317471,0.0486513799039141,0.037232949889152,0.91976364271711,0.0480904137370702,0.0321459435458203,0.036630093825778,0.918918918918919,0.0486486486486487,0.0324324324324324,0.0373345678679654,0.91948071867354,0.047094510444129,0.0334247708823307,84,78,1,5,101,92,8,1
2,7,0.869565217391304,0.0869565217391304,0.0434782608695652,0.17093410939761,0.654783583899926,0.290416803297592,0.0547996128024821,0.269408148462019,0.493419678136771,0.327536678092337,0.179043643770892,0.14174906111077,0.682627256815323,0.243113967157853,0.0742587760268237,0.142877212542693,0.679738562091503,0.241830065359477,0.0784313725490196,0.15450642618194,0.679578166954716,0.275422203758672,0.0449996292866117,62,30,20,12,91,74,17,0
2,8,0.869565217391304,0.0869565217391304,0.0434782608695652,0.0414508512017995,0.928137781423497,0.0597197896862216,0.0121424288902814,0.0491864354533722,0.938082636242812,0.0423064392396007,0.019610924517587,0.0415101521773971,0.928239729785937,0.0592364535720206,0.0125238166420421,0.041315450527915,0.927966101694915,0.0593220338983051,0.0127118644067797,0.0414508652588719,0.92813779489166,0.0597199207181821,0.012142284390158,118,108,10,0,118,111,4,3
2,9,0.869565217391304,0.0869565217391304,0.0434782608695652,0.0939237782377951,1,3.2951447241965e-23,4.99513947308266e-19,0.0284276096074905,0.858007881263698,0.0593883088660454,0.0826038098702562,0.028588275260372,0.891870133672077,0.0466012853777428,0.0615285809501798,0.0287257643233082,0.891752577319588,0.0463917525773196,0.0618556701030928,0.0281042097666314,0.891565031994216,0.047289978290607,0.0611449897151771,93,78,6,9,101,95,3,3
2,10,0.869565217391304,0.0869565217391304,0.0434782608695652,0.0864113381459713,0.74997174712402,0.124994800072319,0.125033452803661,0.117090665892595,0.733576931359278,0.0731232512233037,0.193299817417418,0.0847579404870668,0.75062778956097,0.133530317692488,0.115841892746541,0.0862256691037488,0.748603351955307,0.134078212290503,0.11731843575419,0.083382144227052,0.752354381009902,0.134377672411106,0.113267946578992,109,83,20,6,70,51,4,15
