"p1","p2","p3","loglik","delta_loglik","relative_likelihood","gradient_norm","max_abs_gradient","boundary_distance","l1_distance_from_observed","l2_distance_from_observed"
0.217391304347826,0.565217391304348,0.217391304347826,-12154.1382001376,-11983.8589608639,0,314405.947202278,210839.401010769,0.217391304347826,0.459184317735407,0.281230766642186
0.173913043478261,0.608695652173913,0.217391304347826,-17537.0096991525,-17366.7304598788,0,334777.049210164,242741.677028598,0.173913043478261,0.546140839474537,0.336312420935966
0.130434782608696,0.652173913043478,0.217391304347826,-24811.7884098217,-24641.5091705479,0,367156.079974521,287570.113654281,0.130434782608696,0.633097361213668,0.393297319490532
0.0869565217391304,0.695652173913043,0.217391304347826,-34728.631557213,-34558.3523179393,0,422717.301535421,357027.520541028,0.0869565217391304,0.720053882952798,0.451465342229093
0.0434782608695652,0.739130434782609,0.217391304347826,-48971.6329775268,-48801.353738253,0,538186.952518092,489061.706628111,0.0434782608695652,0.807010404691929,0.510412152698772
0.695652173913043,0.0434782608695652,0.260869565217391,-44263.3890582231,-44093.1098189494,0,530190.249684772,489138.216293234,0.0434782608695652,0.720310670102815,0.468707644343064
0.652173913043478,0.0869565217391304,0.260869565217391,-30216.0174256224,-30045.7381863487,0,412611.702532974,357096.157102173,0.0869565217391304,0.633354148363685,0.408344994454631
0.608695652173913,0.130434782608696,0.260869565217391,-20517.8202108482,-20347.5409715745,0,355679.161937599,287632.346268417,0.130434782608696,0.546397626624554,0.348376017830804
0.565217391304348,0.173913043478261,0.260869565217391,-13488.8335418714,-13318.5543025977,0,322446.070848237,242798.598719707,0.173913043478261,0.459441104885424,0.289045847187108
0.521739130434783,0.217391304347826,0.260869565217391,-8384.15902653278,-8213.87978725904,0,301656.615487776,210891.846970631,0.217391304347826,0.372484583146293,0.230847548017182
0.478260869565217,0.260869565217391,0.260869565217391,-4805.02548594121,-4634.74624666746,0,288532.758237168,186805.205077765,0.260869565217391,0.285528061407163,0.174914595582945
0.434782608695652,0.304347826086957,0.260869565217391,-2522.90870552952,-2352.62946625578,0,280735.439134386,184235.709563063,0.260869565217391,0.198571539668032,0.124342582180495
0.391304347826087,0.347826086956522,0.260869565217391,-1409.9118207976,-1239.63258152385,0,277086.172974797,184235.709563063,0.260869565217391,0.136016726968657,0.0888170952668967
0.347826086956522,0.391304347826087,0.260869565217391,-1408.12310106517,-1237.84386179142,0,277082.950891195,184235.709563063,0.260869565217391,0.136016726968657,0.0887542210430164
0.304347826086957,0.434782608695652,0.260869565217391,-2517.52887115243,-2347.24963187869,0,280725.666607907,184235.709563063,0.260869565217391,0.198314752518016,0.124207824903361
0.260869565217391,0.478260869565217,0.260869565217391,-4796.01287597918,-4625.73363670544,0,288516.110665437,186756.582308066,0.260869565217391,0.285271274257146,0.174754949728079
0.217391304347826,0.521739130434783,0.260869565217391,-8371.44201269408,-8201.16277342034,0,301632.532121449,210839.401010769,0.217391304347826,0.372227795996276,0.230678212700443
0.173913043478261,0.565217391304348,0.260869565217391,-13472.3069574508,-13302.0277181771,0,322413.723011264,242741.677028598,0.173913043478261,0.459184317735407,0.28887197830154
0.130434782608696,0.608695652173913,0.260869565217391,-20497.3397208712,-20327.0604815974,0,355637.401829576,287570.113654281,0.130434782608696,0.546140839474537,0.348199710732201
0.0869565217391304,0.652173913043478,0.260869565217391,-30191.3910202963,-30021.1117810225,0,412558.974718212,357027.520541028,0.0869565217391304,0.633097361213668,0.408167237701778
0.0434782608695652,0.695652173913043,0.260869565217391,-44234.3642610571,-44064.0850217834,0,530124.381523299,489061.706628111,0.0434782608695652,0.720053882952798,0.468528959601408
0.652173913043478,0.0434782608695652,0.304347826086957,-40644.6503167424,-40474.3710774686,0,524813.509776297,489138.216293234,0.0434782608695652,0.633354148363685,0.431550632304575
0.608695652173913,0.0869565217391304,0.304347826086957,-26820.0142870304,-26649.7350477567,0,405875.890869449,357096.157102173,0.0869565217391304,0.546397626624554,0.370237012209059
0.565217391304348,0.130434782608696,0.304347826086957,-17371.501469936,-17201.2222306622,0,348130.649958111,287632.346268417,0.130434782608696,0.459441104885424,0.30899252231967
0.521739130434783,0.173913043478261,0.304347826086957,-10624.453713457,-10454.1744741832,0,314507.195218613,242798.598719707,0.173913043478261,0.372484583146293,0.247868410981351
0.478260869565217,0.217391304347826,0.304347826086957,-5840.80028853787,-5670.52104926412,0,293721.99918572,210891.846970631,0.217391304347826,0.285528061407163,0.186982769656286
