"p1","p2","p3","p4","p5","rmse_i","rmse_ii","rmse_iii","rmse_iv","N1"
0.12,0.64,0.16,0.04,0.04,0.112616459238661,0.11261708735124,0.112615059585782,0.112616379712686,77
0.08,0.68,0.16,0.04,0.04,0.0253134872535185,0.0253117302864062,0.0253120023495636,0.0253118204762793,222
0.04,0.72,0.16,0.04,0.04,0.495741868314081,0.052631407892078,0.0526310569404769,0.052631024615544,561
0.68,0.04,0.2,0.04,0.04,0.171580884660853,0.470574117435281,0.053197111971914,0.0531970627049665,981
0.64,0.08,0.2,0.04,0.04,0.0585426594859292,0.0585428728409393,0.0585427648069596,0.0585424590283073,354
0.6,0.12,0.2,0.04,0.04,0.0203458176602166,0.0203452685951407,0.0203461400580824,0.0203452191324397,126
0.56,0.16,0.2,0.04,0.04,0.0372597361449978,0.0372595808413368,0.0372565773102314,0.0372590652503381,146
0.52,0.2,0.2,0.04,0.04,0.399958361695684,0.0363727406723299,0.0363774677382042,0.0363710797638533,820
0.48,0.24,0.2,0.04,0.04,0.041391228059404,0.0413887753529309,0.041395188382417,0.0413895920521233,154
0.44,0.28,0.2,0.04,0.04,0.0346770587355034,0.0346774336295019,0.034671085721758,0.0346784797085746,59
0.4,0.32,0.2,0.04,0.04,0.186862501907547,0.0253095289838147,0.0253080774614926,0.0253085865732111,605
0.36,0.36,0.2,0.04,0.04,0.25021191623609,0.0329264648530793,0.0329261845981679,0.0329264677150896,277
0.32,0.4,0.2,0.04,0.04,0.040631561121719,0.0406315980793071,0.0406298941746646,0.0406312156408397,398
0.28,0.44,0.2,0.04,0.04,0.387639864793519,0.0385640950953053,0.0385641968984086,0.0385642715998205,241
0.24,0.48,0.2,0.04,0.04,0.126260757180584,0.01425382262675,0.0142657201659687,0.0142659202074696,861
0.2,0.52,0.2,0.04,0.04,0.0203001508202101,0.0202993629369521,0.0202899812157434,0.0202988059375755,68
0.16,0.56,0.2,0.04,0.04,0.0150936538228109,0.0150954085809686,0.0150954458312641,0.0150956445573573,219
0.12,0.6,0.2,0.04,0.04,0.0629588498192402,0.0629590772757001,0.0629578172869084,0.0629586132490902,52
0.08,0.64,0.2,0.04,0.04,0.0269728500844359,0.0269753666981751,0.0269746659530006,0.0269753585765638,559
0.04,0.68,0.2,0.04,0.04,0.0276697918053868,0.0276701105368383,0.0276698974984542,0.0276699104525994,584
0.64,0.04,0.24,0.04,0.04,0.0650351567134937,0.0650353732093747,0.0650337345785612,0.0650350959563713,359
0.6,0.08,0.24,0.04,0.04,0.43521352871826,0.0266577283102932,0.0266578204318692,0.0266574471845995,182
0.56,0.12,0.24,0.04,0.04,0.426333203010406,0.017986380409731,0.0179856164744039,0.0179859507809268,209
0.52,0.16,0.24,0.04,0.04,0.0204562622129767,0.0204562446235953,0.0204564491519638,0.0204564904862961,909
0.48,0.2,0.24,0.04,0.04,0.286392041440447,0.0504620369436174,0.212408075015205,0.0504636101519166,716
0.44,0.24,0.24,0.04,0.04,0.051908061860803,0.0519089331433134,0.0519078486483017,0.0519080784460127,299
0.4,0.28,0.24,0.04,0.04,0.0418182717640185,0.041809419466354,0.300405846890201,0.0418096865166592,840
0.36,0.32,0.24,0.04,0.04,0.0779814437960494,0.0779814111422663,0.0779790217208539,0.0779813016708498,57
0.32,0.36,0.24,0.04,0.04,0.064161411695398,0.0641623766360263,0.0641625900466361,0.0641614493093329,519
0.28,0.4,0.24,0.04,0.04,0.034055667937308,0.0340556761092062,0.0340556449573152,0.034055701178973,281
0.24,0.44,0.24,0.04,0.04,0.285135394928468,0.0204413538585203,0.0204407912384002,0.0204405250099558,412
0.2,0.48,0.24,0.04,0.04,0.0475769202879835,0.0475769588121425,0.0475812628059515,0.0475778263119577,61
0.16,0.52,0.24,0.04,0.04,0.0371788080827721,0.0371786904909788,0.0371786755056254,0.0371786592735709,324
0.12,0.56,0.24,0.04,0.04,0.0248602435500812,0.0248575015256176,0.0248600323710079,0.0248604926231665,299
0.08,0.6,0.24,0.04,0.04,0.0491147226458426,0.0491155833541154,0.0491215933599801,0.0491154117872016,111
0.04,0.64,0.24,0.04,0.04,0.445421149026401,0.108572395442718,0.00959558088364631,0.00959692967324453,517
0.6,0.04,0.28,0.04,0.04,0.0214971317942428,0.0214977929907866,0.0214974196663424,0.0214974822566055,141
0.56,0.08,0.28,0.04,0.04,0.0368516399987356,0.0368509506012539,0.0368531705499807,0.0368522175384331,128
0.52,0.12,0.28,0.04,0.04,0.0784876603189585,0.0784885210353624,0.078487462757812,0.0784874516942797,528
0.48,0.16,0.28,0.04,0.04,0.0321112995678919,0.0321118907509344,0.0321115752771403,0.0321119043307439,159
0.44,0.2,0.28,0.04,0.04,0.305675595310222,0.0289864407712448,0.0289871411849111,0.0289867448446926,705
0.4,0.24,0.28,0.04,0.04,0.328975650526932,0.0397443249291752,0.0397449943309221,0.039744406943389,764
0.36,0.28,0.28,0.04,0.04,0.0235086710288421,0.337520369750828,0.0235083244208834,0.0235082563082159,463
0.32,0.32,0.28,0.04,0.04,0.0328667453815563,0.0328619701667703,0.0328486732418648,0.03286335345031,60
0.28,0.36,0.28,0.04,0.04,0.0293803119386077,0.337520369755664,0.365569695736102,0.0293805959426403,910
0.24,0.4,0.28,0.04,0.04,0.0911639136654159,0.0911625927181976,0.0911471458303297,0.0911627529107506,63
0.2,0.44,0.28,0.04,0.04,0.0408355566404097,0.42783174262787,0.342545701655184,0.0408356776400406,828
0.16,0.48,0.28,0.04,0.04,0.0782788262809809,0.0782791418465768,0.0782790074844346,0.0782790678070926,85
0.12,0.52,0.28,0.04,0.04,0.0225630025397182,0.0225630550991048,0.0225630933093984,0.022563034283833,509
0.08,0.56,0.28,0.04,0.04,0.410268204958659,0.0500912887437938,0.0500928994693952,0.0500920768698415,434
0.04,0.6,0.28,0.04,0.04,0.0234641448159924,0.0234642446949641,0.0234641564193391,0.0234643267084195,227
