"mesh_id","sim_id","p1","p2","p3","rmse_i","L1_norm_i","Linf_norm_i","p_hat_i_1","p_hat_i_2","p_hat_i_3","rmse_ii","L1_norm_ii","Linf_norm_ii","p_hat_ii_1","p_hat_ii_2","p_hat_ii_3","rmse_iii","L1_norm_iii","Linf_norm_iii","p_hat_iii_1","p_hat_iii_2","p_hat_iii_3","rmse_iv","L1_norm_iv","Linf_norm_iv","p_hat_iv_1","p_hat_iv_2","p_hat_iv_3","rmse_v","L1_norm_v","Linf_norm_v","p_hat_v_1","p_hat_v_2","p_hat_v_3","N1","X1_1","X1_2","X1_3","N2","X2_1","X2_2","X2_3","N3","X3_1","X3_2","X3_3","N4","X4_1","X4_2","X4_3","N5","X5_1","X5_2","X5_3","N6","X6_1","X6_2","X6_3","N7","X7_1","X7_2","X7_3","N8","X8_1","X8_2","X8_3"
68,2,0.478260869565217,0.347826086956522,0.173913043478261,0.0131616643159084,0.036843191191337,0.0184215955956685,0.459839273969549,0.354728698642011,0.18543202738844,0.0493935207478439,0.125377959952128,0.0626889799760642,0.415571889589153,0.352484462952966,0.23194364745788,0.0116524714300043,0.0321005216808838,0.0160502608404419,0.462210608724776,0.35261671882891,0.185172672446315,0.0100359535544803,0.0252309078621311,0.0126154539310656,0.466321243523316,0.347150259067358,0.186528497409326,0.0119972716947477,0.0330594203263272,0.0165297101631636,0.461731159402054,0.35277758971489,0.185491250883057,22,7,7,8,27,9,12,6,22,9,12,1,28,21,7,0,26,17,3,6,19,11,6,2,25,4,14,7,24,12,6,6
68,3,0.478260869565217,0.347826086956522,0.173913043478261,0.0195509432218666,0.0536675044358141,0.0268337522179071,0.497450212887413,0.320992334738615,0.181557452373973,0.0368436112933328,0.0943841800895353,0.0471920900447676,0.473792226813038,0.305102639663934,0.221105133523028,0.020437631949465,0.0549620180336968,0.0274810090168484,0.499756424499952,0.320345077939673,0.179898497560375,0.0257157740980787,0.0693895476504172,0.0346947738252086,0.505050505050505,0.313131313131313,0.181818181818182,0.0221901714478796,0.0585471667147972,0.0292735833573987,0.50269044181904,0.318552503599123,0.178757054581837,29,12,12,5,32,18,13,1,14,2,8,4,29,16,5,8,25,9,10,6,21,17,4,0,23,14,5,4,25,12,5,8
68,4,0.478260869565217,0.347826086956522,0.173913043478261,0.0351690407483717,0.0945651401677771,0.0472825700838886,0.430978299481329,0.384830046335498,0.184191654183173,0.079973383428595,0.226130427126009,0.113065213563004,0.41931865763146,0.460891300519526,0.119790041849014,0.0323624992654622,0.0854294261436816,0.0427147130718408,0.442670206897084,0.390540800028363,0.166788993074554,0.0432690428108868,0.116096207215541,0.0580481036077706,0.420212765957447,0.393617021276596,0.186170212765957,0.0278301533237059,0.0747982228514732,0.0373991114257366,0.440861758139481,0.377144305459754,0.181993936400765,16,4,11,1,23,9,13,1,29,10,16,3,23,4,0,19,24,12,9,3,24,12,8,4,20,7,10,3,29,21,7,1
68,5,0.478260869565217,0.347826086956522,0.173913043478261,0.0861475727997716,0.243405839501142,0.121702919750571,0.412571440893267,0.469529006707093,0.11789955239964,0.0382439515482986,0.107526205596117,0.0537631027980586,0.500038860620041,0.379811198699757,0.120149940680202,0.0868141021934023,0.243370714499233,0.121685357249617,0.431543978803202,0.469511444206138,0.09894457699066,0.0988555144971794,0.278441090335661,0.139220545167831,0.419689119170984,0.487046632124352,0.0932642487046632,0.0725274416293297,0.205061696951903,0.102530848475951,0.429427217735355,0.450356935432473,0.120215846832172,17,2,15,0,24,4,19,1,33,24,4,5,21,7,14,0,22,13,6,3,28,11,16,1,25,6,18,1,23,14,2,7
69,1,0.434782608695652,0.391304347826087,0.173913043478261,0.0109142492510405,0.0277896821225214,0.0138948410612607,0.435909264759094,0.404072532823906,0.160018202417,0.0752724173822762,0.202041571069738,0.101020785534869,0.355203230818725,0.492325133360956,0.152471635820319,0.0135650006351138,0.0363791789793228,0.0181895894896614,0.452972198185314,0.387488567098491,0.159539234716196,0.00786423872906016,0.0204347826086957,0.0102173913043478,0.445,0.39,0.165,0.00840040899933109,0.0236289612306007,0.0118144806153003,0.446597089310952,0.384318292021197,0.16908461866785,19,5,9,5,19,6,13,0,33,14,17,2,28,3,17,8,36,20,3,13,27,20,4,3,21,16,5,0,17,5,10,2
69,2,0.434782608695652,0.391304347826087,0.173913043478261,0.0615311681182419,0.173232954363246,0.0866164771816229,0.348166131514029,0.441845593086125,0.209988275399846,0.0274675775421671,0.0731865023039546,0.0365932511519773,0.398189357543675,0.398313715025983,0.203496927430342,0.0567875490678599,0.160611734308522,0.0803058671542612,0.354476741541391,0.432138727771984,0.213384530686625,0.05908143309939,0.166862514688602,0.0834312573443008,0.351351351351351,0.436936936936937,0.211711711711712,0.0567510084351764,0.160490683762683,0.0802453418813417,0.35453726681431,0.432663654272535,0.212799078913155,24,4,16,4,32,12,6,14,27,14,9,4,35,13,14,8,32,16,13,3,25,7,9,9,23,9,10,4,24,3,20,1
69,3,0.434782608695652,0.391304347826087,0.173913043478261,0.0502248705976401,0.141885126685843,0.0709425633429213,0.363840045352731,0.423747268624692,0.212412686022577,0.0656909403587678,0.167256193355294,0.0836280966776471,0.351154512018005,0.398079766734176,0.250765721247819,0.051350976998391,0.140879514364484,0.070439757182242,0.36434285151341,0.411225052775667,0.224432095710923,0.0569534453629081,0.153147306943543,0.0765736534717716,0.358208955223881,0.407960199004975,0.233830845771144,0.0508964172382482,0.138804944161755,0.0694024720808773,0.365380136614775,0.409478618527055,0.22514124485817,28,4,9,15,34,14,10,10,20,4,16,0,24,6,11,7,22,8,13,1,30,9,13,8,16,7,7,2,27,20,3,4
69,4,0.434782608695652,0.391304347826087,0.173913043478261,0.0351650522562055,0.0967685505648097,0.0483842752824048,0.449020210721375,0.425451021082769,0.125528768195856,0.0787354183989602,0.219923400707907,0.109961700353953,0.394974678710238,0.50126604818004,0.103759273109722,0.0435911538017729,0.111210237514406,0.055605118757203,0.439534439004379,0.442157636274563,0.118307924721058,0.043219825400271,0.115350488021295,0.0576752440106477,0.423469387755102,0.448979591836735,0.127551020408163,0.041686924170843,0.106742704163097,0.0533713520815484,0.439781340438555,0.439676968164733,0.120541691396712,25,9,8,8,38,11,25,2,22,6,13,3,16,8,8,0,22,11,4,7,32,16,15,1,20,14,2,4,21,8,13,0
69,5,0.434782608695652,0.391304347826087,0.173913043478261,0.0670650952173854,0.188362960679091,0.0941814803395453,0.472179171975955,0.297122867486542,0.230697960537504,0.0694332418007466,0.194052129018955,0.0970260645094774,0.53180867320513,0.329717689265175,0.138473637529695,0.0587540582644687,0.166176866885448,0.0830884334427239,0.475785332256942,0.308215914383363,0.215998753359695,0.0592520607088317,0.167224080267559,0.0836120401337793,0.471794871794872,0.307692307692308,0.220512820512821,0.0599002629671065,0.168642679520305,0.0843213397601523,0.469907939132426,0.306983008065935,0.223109052801639,25,7,12,6,25,8,3,14,30,17,10,3,28,19,8,1,26,13,11,2,24,3,12,9,22,15,4,3,15,10,0,5
70,1,0.391304347826087,0.434782608695652,0.173913043478261,0.080686998427435,0.227978457283333,0.113989228641666,0.338829621568223,0.37326810631185,0.287902272119927,0.0486185587438666,0.137379849538528,0.0686899247692639,0.423019280193617,0.366092683926388,0.210888035879995,0.082046289258055,0.229248103645161,0.114624051822581,0.349593136936949,0.36186976776221,0.288537095300841,0.0825554188692681,0.22360248447205,0.111801242236025,0.364532019704433,0.349753694581281,0.285714285714286,0.0823953272647291,0.230486680866665,0.115243340433332,0.348606293019837,0.36223732306857,0.289156383911593,38,19,5,14,21,1,9,11,27,15,10,2,23,4,10,9,17,9,5,3,27,12,10,5,25,11,10,4,25,3,12,10
