"experiment","folder","file","distribution_code","distribution","rmse_best","l1_best","linf_best","rmse_i","rmse_ii","rmse_iii","rmse_iv","rmse_v","l1_i","l1_ii","l1_iii","l1_iv","l1_v","linf_i","linf_ii","linf_iii","linf_iv","linf_v","rmse_friedman_chisq","rmse_friedman_df","rmse_friedman_p","rmse_kendall_w","rmse_anova_f","rmse_anova_p","l1_friedman_chisq","l1_friedman_df","l1_friedman_p","l1_kendall_w","l1_anova_f","l1_anova_p","linf_friedman_chisq","linf_friedman_df","linf_friedman_p","linf_kendall_w","linf_anova_f","linf_anova_p"
631,"ex631","faces_ex631.lst",3,"Negative binomial","(i)","(i)","(i)",0.141,0.173,0.144,0.145,0.144,0.38,0.465,0.388,0.392,0.389,0.19,0.232,0.194,0.196,0.194,30.482,4,"=3.903e-06",0.023,23.368,"<",35.217,4,"=4.192e-07",0.027,22.444,"<",35.217,4,"=4.192e-07",0.027,22.444,"<"
632,"ex632","faces_ex632.lst",3,"Negative binomial","(i)","(i)","(i)",0.0965,0.1347,0.1005,0.0985,0.097,0.26,0.362,0.271,0.266,0.261,0.13,0.181,0.135,0.133,0.131,93.869,4,"<2.2e-16",0.071,70.564,"<",96.667,4,"<2.2e-16",0.073,69.999,"<",96.667,4,"<2.2e-16",0.073,69.999,"<"
633,"ex633","faces_ex633.lst",3,"Negative binomial","(iii)","(iii)","(iii)",0.0732,0.0962,0.0708,0.072,0.0735,0.198,0.259,0.19,0.194,0.199,0.099,0.1296,0.0952,0.0972,0.0993,74.48,4,"=2.567e-15",0.056,60.275,"<",76.749,4,"=8.499e-16",0.058,58.668,"<",76.749,4,"=8.499e-16",0.058,58.668,"<"
634,"ex634","faces_ex634.lst",3,"Negative binomial","(i)","(i)","(i)",0.142,0.171,0.144,0.144,0.142,0.38,0.459,0.388,0.386,0.38,0.19,0.23,0.194,0.193,0.19,15.45,4,"=0.003854",0.012,22.809,"<",17.394,4,"=0.00162",0.013,22.921,"<",17.394,4,"=0.00162",0.013,22.921,"<"
635,"ex635","faces_ex635.lst",3,"Negative binomial","(i)","(i)","(i)",0.103,0.133,0.106,0.106,0.104,0.278,0.36,0.286,0.284,0.28,0.139,0.18,0.143,0.142,0.14,58.81,4,"=5.159e-12",0.045,38.703,"<",64.25,4,"=3.703e-13",0.049,40.086,"<",64.25,4,"=3.703e-13",0.049,40.086,"<"
636,"ex636","faces_ex636.lst",3,"Negative binomial","(i)","(iii)","(i)",0.0775,0.1081,0.0781,0.0797,0.0783,0.209,0.29,0.208,0.213,0.211,0.104,0.145,0.104,0.107,0.105,108.89,4,"<2.2e-16",0.082,66.439,"<",118.19,4,"<2.2e-16",0.09,65.475,"<",118.19,4,"<2.2e-16",0.09,65.475,"<"
637,"ex637","faces_ex637.lst",3,"Negative binomial","(i)","(v)","(v)",0.139,0.17,0.142,0.14,0.139,0.375,0.455,0.383,0.378,0.373,0.188,0.228,0.191,0.189,0.187,31.018,4,"=3.035e-06",0.023,24.175,"<",27.845,4,"=1.341e-05",0.021,23.344,"<",27.845,4,"=1.341e-05",0.021,23.344,"<"
638,"ex638","faces_ex638.lst",3,"Negative binomial","(v)","(v)","(v)",0.107,0.14,0.109,0.109,0.106,0.288,0.376,0.293,0.293,0.285,0.144,0.188,0.147,0.146,0.142,59.416,4,"=3.848e-12",0.045,43.546,"<",55.77,4,"=2.241e-11",0.042,40.237,"<",55.77,4,"=2.241e-11",0.042,40.237,"<"
639,"ex639","faces_ex639.lst",3,"Negative binomial","(iii)","(iii)","(iii)",0.0767,0.1025,0.0757,0.0773,0.0767,0.208,0.275,0.204,0.208,0.207,0.104,0.138,0.102,0.104,0.104,82.766,4,"<2.2e-16",0.063,64.09,"<",74.422,4,"=2.641e-15",0.056,63.677,"<",74.422,4,"=2.641e-15",0.056,63.677,"<"
640,"ex640","faces_ex640.lst",3,"Negative binomial","(i)","(i)","(i)",0.137,0.169,0.14,0.14,0.138,0.367,0.456,0.377,0.375,0.371,0.184,0.228,0.188,0.188,0.186,15.612,4,"=0.003586",0.012,26.577,"<",20.642,4,"=0.0003728",0.016,27.069,"<",20.642,4,"=0.0003728",0.016,27.069,"<"
641,"ex641","faces_ex641.lst",3,"Negative binomial","(i)","(i)","(i)",0.101,0.122,0.103,0.103,0.102,0.273,0.328,0.277,0.276,0.274,0.137,0.164,0.138,0.138,0.137,20.187,4,"=0.0004588",0.015,17.135,"1.041e-13",17.799,4,"=0.001351",0.013,16.573,"2.938e-13",17.799,4,"=0.001351",0.013,16.573,"2.938e-13"
642,"ex642","faces_ex642.lst",3,"Negative binomial","(i)","(iii)","(i)",0.0776,0.1043,0.0776,0.0788,0.0794,0.21,0.28,0.209,0.213,0.215,0.105,0.14,0.105,0.106,0.107,96.856,4,"<2.2e-16",0.073,48.056,"<",83.552,4,"<2.2e-16",0.063,47.231,"<",83.552,4,"<2.2e-16",0.063,47.231,"<"
643,"ex643","faces_ex643.lst",3,"Negative binomial","(i)","(i)","(i)",0.131,0.163,0.133,0.133,0.131,0.352,0.438,0.359,0.357,0.353,0.176,0.219,0.18,0.179,0.177,16.953,4,"=0.001974",0.013,30.351,"<",18.359,4,"=0.00105",0.014,30.234,"<",18.359,4,"=0.00105",0.014,30.234,"<"
644,"ex644","faces_ex644.lst",3,"Negative binomial","(i)","(i)","(i)",0.0958,0.1302,0.1003,0.0995,0.097,0.258,0.35,0.27,0.268,0.261,0.129,0.175,0.135,0.134,0.131,74.965,4,"=2.027e-15",0.057,48.796,"<",83.404,4,"<2.2e-16",0.063,49.423,"<",83.404,4,"<2.2e-16",0.063,49.423,"<"
645,"ex645","faces_ex645.lst",3,"Negative binomial","(iii)","(iii)","(iii)",0.0751,0.0966,0.0726,0.0744,0.0751,0.202,0.26,0.195,0.2,0.202,0.1011,0.13,0.0973,0.1002,0.1008,57.064,4,"=1.199e-11",0.043,47.062,"<",62.432,4,"=8.938e-13",0.047,46.641,"<",62.432,4,"=8.938e-13",0.047,46.641,"<"
646,"ex646","faces_ex646.lst",3,"Negative binomial","(iv)","(iv)","(iv)",0.145,0.175,0.145,0.144,0.144,0.391,0.468,0.389,0.387,0.389,0.195,0.234,0.195,0.194,0.194,5.6509,4,"=0.2268",0.004,22.893,"<",6.8921,4,"=0.1417",0.005,22.561,"<",6.8921,4,"=0.1417",0.005,22.561,"<"
647,"ex647","faces_ex647.lst",3,"Negative binomial","(i)","(v)","(i)",0.0961,0.1323,0.1002,0.1007,0.0963,0.259,0.354,0.269,0.27,0.258,0.129,0.177,0.135,0.135,0.129,95.685,4,"<2.2e-16",0.072,67.46,"<",90.019,4,"<2.2e-16",0.068,64.56,"<",90.019,4,"<2.2e-16",0.068,64.56,"<"
648,"ex648","faces_ex648.lst",3,"Negative binomial","(i)","(i)","(iii)",0.0754,0.099,0.0755,0.0762,0.0762,0.203,0.266,0.203,0.205,0.205,0.102,0.133,0.101,0.103,0.103,83.093,4,"<2.2e-16",0.063,59.154,"<",85.256,4,"<2.2e-16",0.065,57.779,"<",85.256,4,"<2.2e-16",0.065,57.779,"<"
649,"ex649","faces_ex649.lst",3,"Negative binomial","(iii)","(iii)","(iii)",0.0837,0.0805,0.0578,0.058,0.0581,0.225,0.217,0.156,0.156,0.157,0.1127,0.1085,0.0778,0.0781,0.0784,39.891,4,"=4.559e-08",0.03,18.005,"2.087e-14",40.007,4,"=4.313e-08",0.03,18.043,"1.946e-14",40.007,4,"=4.313e-08",0.03,18.043,"1.946e-14"
650,"ex650","faces_ex650.lst",3,"Negative binomial","(iii)","(iii)","(iii)",0.0874,0.0589,0.0404,0.0409,0.0405,0.239,0.16,0.109,0.11,0.109,0.1196,0.0799,0.0545,0.0552,0.0547,98.613,4,"<2.2e-16",0.075,43.286,"<",104.07,4,"<2.2e-16",0.079,43.908,"<",104.07,4,"<2.2e-16",0.079,43.908,"<"
651,"ex651","faces_ex651.lst",3,"Negative binomial","(v)","(v)","(v)",0.0381,0.0468,0.0295,0.0295,0.0294,0.1034,0.1262,0.0793,0.0794,0.0791,0.0517,0.0631,0.0397,0.0397,0.0396,73.45,4,"=4.239e-15",0.056,12.403,"6.628e-10",71.682,4,"=1.002e-14",0.054,12.057,"1.257e-09",71.682,4,"=1.002e-14",0.054,12.057,"1.257e-09"
652,"ex652","faces_ex652.lst",3,"Negative binomial","(iii)","(iii)","(iii)",0.0795,0.0838,0.0584,0.0588,0.0587,0.214,0.226,0.157,0.158,0.158,0.1071,0.1128,0.0786,0.0791,0.079,52.669,4,"=9.995e-11",0.04,18.883,"4.136e-15",48.628,4,"=6.982e-10",0.037,18.593,"7.059e-15",48.628,4,"=6.982e-10",0.037,18.593,"7.059e-15"
653,"ex653","faces_ex653.lst",3,"Negative binomial","(iv)","(iv)","(iv)",0.0815,0.0598,0.0387,0.0386,0.0388,0.223,0.161,0.105,0.104,0.105,0.1117,0.0807,0.0524,0.0521,0.0524,134.66,4,"<2.2e-16",0.102,43.214,"<",118.45,4,"<2.2e-16",0.09,43.12,"<",118.45,4,"<2.2e-16",0.09,43.12,"<"
654,"ex654","faces_ex654.lst",3,"Negative binomial","(v)","(v)","(v)",0.0408,0.0478,0.0294,0.0297,0.0293,0.111,0.1279,0.0795,0.0802,0.0791,0.0555,0.0639,0.0398,0.0401,0.0395,57.804,4,"=8.391e-12",0.044,13.071,"1.921e-10",54.71,4,"=3.736e-11",0.041,12.717,"3.702e-10",54.71,4,"=3.736e-11",0.041,12.717,"3.702e-10"
655,"ex655","faces_ex655.lst",3,"Negative binomial","(iii)","(iii)","(iii)",0.0781,0.0858,0.0618,0.0625,0.062,0.211,0.231,0.166,0.168,0.167,0.1055,0.1154,0.0832,0.084,0.0834,36.676,4,"=2.1e-07",0.028,18.962,"3.576e-15",28.027,4,"=1.232e-05",0.021,18.693,"5.869e-15",28.027,4,"=1.232e-05",0.021,18.693,"5.869e-15"
656,"ex656","faces_ex656.lst",3,"Negative binomial","(iii)","(iii)","(iii)",0.0814,0.0648,0.0428,0.0431,0.0428,0.223,0.175,0.115,0.116,0.115,0.1114,0.0875,0.0576,0.058,0.0576,72.097,4,"=8.187e-15",0.055,32.127,"<",74.313,4,"=2.785e-15",0.056,32.229,"<",74.313,4,"=2.785e-15",0.056,32.229,"<"
657,"ex657","faces_ex657.lst",3,"Negative binomial","(iv)","(iv)","(iv)",0.0451,0.0451,0.0313,0.0312,0.0314,0.123,0.1217,0.0844,0.0842,0.0845,0.0615,0.0608,0.0422,0.0421,0.0423,100.29,4,"<2.2e-16",0.076,10.185,"4.022e-08",93.055,4,"<2.2e-16",0.07,10.156,"4.243e-08",93.055,4,"<2.2e-16",0.07,10.156,"4.243e-08"
658,"ex658","faces_ex658.lst",3,"Negative binomial","(iii)","(iii)","(iii)",0.0724,0.0708,0.0518,0.0523,0.0521,0.195,0.191,0.139,0.141,0.14,0.0974,0.0955,0.0696,0.0704,0.07,34.305,4,"=6.451e-07",0.026,16.861,"1.725e-13",33.29,4,"=1.042e-06",0.025,17.16,"9.939e-14",33.29,4,"=1.042e-06",0.025,17.16,"9.939e-14"
659,"ex659","faces_ex659.lst",3,"Negative binomial","(iii)","(iii)","(iii)",0.0916,0.0556,0.036,0.0361,0.0361,0.2515,0.15,0.0971,0.0973,0.0973,0.1258,0.075,0.0485,0.0486,0.0486,86.388,4,"<2.2e-16",0.065,57.918,"<",94.056,4,"<2.2e-16",0.071,58.449,"<",94.056,4,"<2.2e-16",0.071,58.449,"<"
660,"ex660","faces_ex660.lst",3,"Negative binomial","(iii)","(iii)","(iv)",0.0448,0.0515,0.0252,0.0252,0.0259,0.123,0.1396,0.0683,0.0683,0.0703,0.0615,0.0698,0.0342,0.0341,0.0352,89.154,4,"<2.2e-16",0.068,17.356,"6.925e-14",89.023,4,"<2.2e-16",0.067,17.047,"1.225e-13",89.023,4,"<2.2e-16",0.067,17.047,"1.225e-13"
661,"ex661","faces_ex661.lst",3,"Negative binomial","(iii)","(iii)","(iii)",0.093,0.0733,0.0535,0.0539,0.0536,0.251,0.197,0.145,0.146,0.145,0.1255,0.0987,0.0724,0.0728,0.0725,42.623,4,"=1.239e-08",0.032,24.864,"<",41.011,4,"=2.674e-08",0.031,24.931,"<",41.011,4,"=2.674e-08",0.031,24.931,"<"
662,"ex662","faces_ex662.lst",3,"Negative binomial","(iii)","(iii)","(iii)",0.1088,0.0565,0.0369,0.037,0.0371,0.2989,0.1533,0.0992,0.0995,0.0998,0.1495,0.0767,0.0496,0.0498,0.0499,89.491,4,"<2.2e-16",0.068,65.666,"<",92.177,4,"<2.2e-16",0.07,66.138,"<",92.177,4,"<2.2e-16",0.07,66.138,"<"
663,"ex663","faces_ex663.lst",3,"Negative binomial","(v)","(v)","(iii)",0.0434,0.0407,0.0261,0.0261,0.026,0.1186,0.1098,0.0701,0.0701,0.07,0.0593,0.0549,0.035,0.0351,0.035,76.914,4,"=7.843e-16",0.058,12.825,"3.034e-10",80.895,4,"<2.2e-16",0.061,12.579,"4.779e-10",80.895,4,"<2.2e-16",0.061,12.579,"4.779e-10"
664,"ex664","faces_ex664.lst",3,"Negative binomial","(iii)","(iii)","(v)",0.0733,0.0784,0.0525,0.0527,0.0525,0.198,0.212,0.142,0.143,0.142,0.0992,0.1061,0.0709,0.0713,0.0708,36.31,4,"=2.498e-07",0.028,17.605,"4.373e-14",36.212,4,"=2.617e-07",0.027,17.532,"5.003e-14",36.212,4,"=2.617e-07",0.027,17.532,"5.003e-14"
