"experiment","folder","file","distribution_code","distribution","rmse_best","l1_best","linf_best","rmse_i","rmse_ii","rmse_iii","rmse_iv","rmse_v","l1_i","l1_ii","l1_iii","l1_iv","l1_v","linf_i","linf_ii","linf_iii","linf_iv","linf_v","rmse_friedman_chisq","rmse_friedman_df","rmse_friedman_p","rmse_kendall_w","rmse_anova_f","rmse_anova_p","l1_friedman_chisq","l1_friedman_df","l1_friedman_p","l1_kendall_w","l1_anova_f","l1_anova_p","linf_friedman_chisq","linf_friedman_df","linf_friedman_p","linf_kendall_w","linf_anova_f","linf_anova_p"
172,"ex172","faces_ex172.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0795,0.072,0.0515,0.052,0.0517,0.216,0.195,0.139,0.14,0.139,0.1079,0.0973,0.0693,0.0701,0.0697,55.893,4,"=2.111e-11",0.042,19.203,"2.296e-15",47.442,4,"=1.233e-09",0.036,19.256,"2.082e-15",47.442,4,"=1.233e-09",0.036,19.256,"2.082e-15"
173,"ex173","faces_ex173.lst",1,"Poisson","(iii)","(iii)","(iii)",0.097,0.0555,0.0352,0.0354,0.0353,0.2657,0.1497,0.095,0.0955,0.0954,0.1329,0.0749,0.0475,0.0478,0.0477,85.127,4,"<2.2e-16",0.064,55.688,"<",81.503,4,"<2.2e-16",0.062,56.747,"<",81.503,4,"<2.2e-16",0.062,56.747,"<"
174,"ex174","faces_ex174.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0537,0.0529,0.025,0.025,0.0263,0.1473,0.1428,0.0672,0.0673,0.071,0.0737,0.0714,0.0336,0.0337,0.0355,113.21,4,"<2.2e-16",0.086,18.881,"4.152e-15",111.91,4,"<2.2e-16",0.085,18.821,"4.638e-15",111.91,4,"<2.2e-16",0.085,18.821,"4.638e-15"
175,"ex175","faces_ex175.lst",1,"Poisson","(iv)","(iii)","(iii)",0.0827,0.0667,0.0497,0.0496,0.0501,0.223,0.18,0.134,0.134,0.135,0.1116,0.0899,0.0668,0.0668,0.0674,22.257,4,"=0.0001781",0.017,20.903,"<",26.213,4,"=2.866e-05",0.02,20.853,"<",26.213,4,"=2.866e-05",0.02,20.853,"<"
176,"ex176","faces_ex176.lst",1,"Poisson","(iii)","(iii)","(iii)",0.087,0.0567,0.036,0.0361,0.0371,0.2374,0.1521,0.0972,0.0976,0.0999,0.1187,0.0761,0.0486,0.0488,0.0499,86.318,4,"<2.2e-16",0.065,41.653,"<",81.156,4,"<2.2e-16",0.061,42.848,"<",81.156,4,"<2.2e-16",0.061,42.848,"<"
177,"ex177","faces_ex177.lst",1,"Poisson","(iv)","(iv)","(iv)",0.042,0.041,0.0261,0.0259,0.0259,0.1146,0.1105,0.0701,0.0696,0.0696,0.0573,0.0552,0.035,0.0348,0.0348,52.208,4,"=1.248e-10",0.04,12.082,"1.201e-09",51.605,4,"=1.668e-10",0.039,11.948,"1.54e-09",51.605,4,"=1.668e-10",0.039,11.948,"1.54e-09"
178,"ex178","faces_ex178.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0696,0.0745,0.0521,0.0524,0.0523,0.187,0.2,0.139,0.14,0.14,0.0934,0.1,0.0697,0.07,0.0699,24.834,4,"=5.433e-05",0.019,17.531,"5.007e-14",20.958,4,"=0.0003229",0.016,17.662,"3.933e-14",20.958,4,"=0.0003229",0.016,17.662,"3.933e-14"
179,"ex179","faces_ex179.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0989,0.0652,0.0422,0.0423,0.0447,0.271,0.175,0.113,0.114,0.12,0.1355,0.0873,0.0567,0.0569,0.0602,61.146,4,"=1.666e-12",0.046,45.918,"<",55.779,4,"=2.231e-11",0.042,46.831,"<",55.779,4,"=2.231e-11",0.042,46.831,"<"
180,"ex180","faces_ex180.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0389,0.0457,0.0266,0.0267,0.0268,0.1062,0.1231,0.0716,0.0718,0.0721,0.0531,0.0616,0.0358,0.0359,0.0361,96.979,4,"<2.2e-16",0.073,11.742,"2.253e-09",102.02,4,"<2.2e-16",0.077,11.534,"3.313e-09",102.02,4,"<2.2e-16",0.077,11.534,"3.313e-09"
181,"ex181","faces_ex181.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0722,0.0758,0.046,0.046,0.0464,0.196,0.206,0.124,0.124,0.125,0.0978,0.1028,0.0621,0.0621,0.0627,65.823,4,"=1.726e-13",0.05,22.301,"<",71.852,4,"=9.222e-15",0.054,22.413,"<",71.852,4,"=9.222e-15",0.054,22.413,"<"
182,"ex182","faces_ex182.lst",1,"Poisson","(iii)","(iii)","(iii)",0.1023,0.0503,0.0329,0.0329,0.0344,0.2794,0.1351,0.0888,0.0888,0.0931,0.1397,0.0676,0.0444,0.0444,0.0466,54.587,4,"=3.966e-11",0.041,64.376,"<",48.087,4,"=9.051e-10",0.036,66.239,"<",48.087,4,"=9.051e-10",0.036,66.239,"<"
183,"ex183","faces_ex183.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0419,0.0392,0.0229,0.0229,0.0267,0.1136,0.1057,0.0613,0.0613,0.0719,0.0568,0.0528,0.0307,0.0307,0.036,96.742,4,"<2.2e-16",0.073,11.535,"3.308e-09",92.705,4,"<2.2e-16",0.07,11.391,"4.321e-09",92.705,4,"<2.2e-16",0.07,11.391,"4.321e-09"
184,"ex184","faces_ex184.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0913,0.0701,0.0457,0.0458,0.0458,0.247,0.189,0.123,0.123,0.123,0.1236,0.0944,0.0615,0.0616,0.0615,56.848,4,"=1.331e-11",0.043,31.067,"<",54.977,4,"=3.285e-11",0.042,31.231,"<",54.977,4,"=3.285e-11",0.042,31.231,"<"
185,"ex185","faces_ex185.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0996,0.0606,0.0348,0.0348,0.0349,0.2722,0.1645,0.0935,0.0936,0.094,0.1361,0.0822,0.0467,0.0468,0.047,79.008,4,"=2.825e-16",0.06,53.279,"<",81.43,4,"<2.2e-16",0.062,53.298,"<",81.43,4,"<2.2e-16",0.062,53.298,"<"
186,"ex186","faces_ex186.lst",1,"Poisson","(iii)","(iv)","(iv)",0.0544,0.0455,0.025,0.025,0.0282,0.1493,0.1227,0.0677,0.0676,0.0762,0.0746,0.0613,0.0339,0.0338,0.0381,56.095,4,"=1.916e-11",0.042,14.145,"2.631e-11",60.999,4,"=1.789e-12",0.046,14.482,"1.407e-11",60.999,4,"=1.789e-12",0.046,14.482,"1.407e-11"
187,"ex187","faces_ex187.lst",1,"Poisson","(v)","(v)","(v)",0.0731,0.074,0.0482,0.0484,0.0481,0.196,0.2,0.13,0.13,0.129,0.0981,0.1,0.0648,0.0651,0.0647,71.639,4,"=1.023e-14",0.054,18.707,"5.726e-15",64.194,4,"=3.804e-13",0.049,18.705,"5.743e-15",64.194,4,"=3.804e-13",0.049,18.705,"5.743e-15"
188,"ex188","faces_ex188.lst",1,"Poisson","(iii)","(iii)","(iii)",0.1031,0.0617,0.0366,0.0366,0.0377,0.2822,0.1657,0.0978,0.0979,0.1009,0.1411,0.0829,0.0489,0.0489,0.0504,61.769,4,"=1.232e-12",0.047,53.192,"<",59.298,4,"=4.074e-12",0.045,54.237,"<",59.298,4,"=4.074e-12",0.045,54.237,"<"
189,"ex189","faces_ex189.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0516,0.0426,0.0239,0.0239,0.0261,0.1403,0.1147,0.0641,0.0643,0.0701,0.0702,0.0573,0.032,0.0322,0.035,77.27,4,"=6.592e-16",0.059,14.489,"1.389e-11",79.275,4,"=2.481e-16",0.06,14.551,"1.239e-11",79.275,4,"=2.481e-16",0.06,14.551,"1.239e-11"
190,"ex190","faces_ex190.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0925,0.1124,0.081,0.0815,0.0825,0.248,0.302,0.217,0.219,0.221,0.124,0.151,0.109,0.109,0.111,49.293,4,"=5.073e-10",0.037,26.552,"<",58.617,4,"=5.664e-12",0.044,26.805,"<",58.617,4,"=5.664e-12",0.044,26.805,"<"
191,"ex191","faces_ex191.lst",1,"Poisson","(v)","(v)","(v)",0.0781,0.0829,0.0582,0.058,0.0576,0.212,0.222,0.157,0.156,0.155,0.1058,0.1111,0.0784,0.0779,0.0775,49.093,4,"=5.583e-10",0.037,24.847,"<",49.377,4,"=4.872e-10",0.037,24.672,"<",49.377,4,"=4.872e-10",0.037,24.672,"<"
192,"ex192","faces_ex192.lst",1,"Poisson","(i)","(i)","(i)",0.0414,0.0606,0.0416,0.042,0.0416,0.112,0.163,0.112,0.113,0.112,0.0558,0.0814,0.0562,0.0566,0.0562,99.91,4,"<2.2e-16",0.076,46.772,"<",95.925,4,"<2.2e-16",0.073,46.452,"<",95.925,4,"<2.2e-16",0.073,46.452,"<"
193,"ex193","faces_ex193.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0873,0.1107,0.0812,0.0814,0.0812,0.235,0.298,0.219,0.219,0.219,0.118,0.149,0.109,0.11,0.109,46.364,4,"=2.069e-09",0.035,36.677,"<",48.759,4,"=6.556e-10",0.037,37.213,"<",48.759,4,"=6.556e-10",0.037,37.213,"<"
194,"ex194","faces_ex194.lst",1,"Poisson","(v)","(iii)","(v)",0.0814,0.0854,0.0594,0.0596,0.0591,0.22,0.229,0.159,0.16,0.159,0.1101,0.1145,0.0797,0.0799,0.0794,86.276,4,"<2.2e-16",0.065,25.598,"<",89.011,4,"<2.2e-16",0.067,25.419,"<",89.011,4,"<2.2e-16",0.067,25.419,"<"
195,"ex195","faces_ex195.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0433,0.064,0.042,0.0426,0.0434,0.116,0.172,0.112,0.114,0.116,0.058,0.0859,0.0562,0.0571,0.0582,124.45,4,"<2.2e-16",0.094,59.922,"<",124.3,4,"<2.2e-16",0.094,59.174,"<",124.3,4,"<2.2e-16",0.094,59.174,"<"
196,"ex196","faces_ex196.lst",1,"Poisson","(v)","(v)","(v)",0.0926,0.1198,0.0863,0.0865,0.0855,0.25,0.322,0.233,0.234,0.231,0.125,0.161,0.116,0.117,0.115,35.025,4,"=4.59e-07",0.027,28.968,"<",29.898,4,"=5.134e-06",0.023,27.645,"<",29.898,4,"=5.134e-06",0.023,27.645,"<"
197,"ex197","faces_ex197.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0718,0.0888,0.0589,0.0591,0.0595,0.194,0.238,0.158,0.159,0.16,0.097,0.1191,0.0791,0.0793,0.08,88.41,4,"<2.2e-16",0.067,27.605,"<",86.965,4,"<2.2e-16",0.066,27.653,"<",86.965,4,"<2.2e-16",0.066,27.653,"<"
198,"ex198","faces_ex198.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0449,0.0632,0.0444,0.0446,0.0451,0.121,0.17,0.119,0.12,0.122,0.0606,0.0849,0.0596,0.0599,0.0609,128.52,4,"<2.2e-16",0.097,75.276,"<",125.37,4,"<2.2e-16",0.095,73.19,"<",125.37,4,"<2.2e-16",0.095,73.19,"<"
199,"ex199","faces_ex199.lst",1,"Poisson","(v)","(v)","(iii)",0.0899,0.1078,0.0804,0.0808,0.08,0.242,0.29,0.216,0.218,0.215,0.121,0.145,0.108,0.109,0.108,66.553,4,"=1.211e-13",0.05,26.519,"<",68.114,4,"=5.676e-14",0.052,26.985,"<",68.114,4,"=5.676e-14",0.052,26.985,"<"
200,"ex200","faces_ex200.lst",1,"Poisson","(iv)","(iii)","(iii)",0.0795,0.0853,0.0563,0.0562,0.0565,0.216,0.23,0.151,0.151,0.152,0.108,0.1149,0.0754,0.0754,0.0758,87.535,4,"<2.2e-16",0.066,25.496,"<",90.657,4,"<2.2e-16",0.069,25.566,"<",90.657,4,"<2.2e-16",0.069,25.566,"<"
201,"ex201","faces_ex201.lst",1,"Poisson","(iii)","(iii)","(iii)",0.044,0.0576,0.0398,0.0407,0.041,0.12,0.155,0.107,0.11,0.111,0.0598,0.0777,0.0536,0.055,0.0554,93.547,4,"<2.2e-16",0.071,34.203,"<",101.74,4,"<2.2e-16",0.077,33.158,"<",101.74,4,"<2.2e-16",0.077,33.158,"<"
202,"ex202","faces_ex202.lst",1,"Poisson","(iv)","(iv)","(iv)",0.0833,0.1087,0.0741,0.0736,0.074,0.224,0.293,0.199,0.198,0.199,0.1121,0.1464,0.0994,0.0989,0.0995,46.17,4,"=2.271e-09",0.035,34.039,"<",46.383,4,"=2.05e-09",0.035,34.28,"<",46.383,4,"=2.05e-09",0.035,34.28,"<"
203,"ex203","faces_ex203.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0775,0.0767,0.0574,0.0578,0.0574,0.211,0.206,0.154,0.155,0.155,0.1053,0.1028,0.0772,0.0776,0.0774,79.77,4,"<2.2e-16",0.06,24.784,"<",82.371,4,"<2.2e-16",0.062,24.177,"<",82.371,4,"<2.2e-16",0.062,24.177,"<"
204,"ex204","faces_ex204.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0404,0.0634,0.0391,0.0399,0.0403,0.109,0.171,0.106,0.108,0.109,0.0544,0.0854,0.053,0.054,0.0543,98.223,4,"<2.2e-16",0.074,37.09,"<",96.051,4,"<2.2e-16",0.073,37.89,"<",96.051,4,"<2.2e-16",0.073,37.89,"<"
205,"ex205","faces_ex205.lst",1,"Poisson","(iv)","(iv)","(iii)",0.0916,0.1051,0.0803,0.0799,0.08,0.247,0.282,0.217,0.216,0.216,0.123,0.141,0.108,0.108,0.108,28.31,4,"=1.079e-05",0.021,20.137,"4.109e-16",28.189,4,"=1.142e-05",0.021,19.523,"1.272e-15",28.189,4,"=1.142e-05",0.021,19.523,"1.272e-15"
206,"ex206","faces_ex206.lst",1,"Poisson","(v)","(v)","(v)",0.0737,0.0777,0.0559,0.0552,0.0551,0.2,0.209,0.15,0.149,0.148,0.1001,0.1043,0.0752,0.0744,0.0742,71.166,4,"=1.288e-14",0.054,25.558,"<",58.044,4,"=7.472e-12",0.044,24.541,"<",58.044,4,"=7.472e-12",0.044,24.541,"<"
207,"ex207","faces_ex207.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0418,0.0652,0.0414,0.042,0.0419,0.112,0.175,0.111,0.113,0.113,0.0562,0.0876,0.0557,0.0566,0.0564,112.94,4,"<2.2e-16",0.086,39.276,"<",109.4,4,"<2.2e-16",0.083,38.842,"<",109.4,4,"<2.2e-16",0.083,38.842,"<"
208,"ex208","faces_ex208.lst",1,"Poisson","(iv)","(iv)","(iii)",0.0894,0.1089,0.0795,0.0793,0.0793,0.241,0.293,0.214,0.213,0.213,0.12,0.146,0.107,0.107,0.107,46.485,4,"=1.952e-09",0.035,26.126,"<",48.735,4,"=6.633e-10",0.037,25.728,"<",48.735,4,"=6.633e-10",0.037,25.728,"<"
209,"ex209","faces_ex209.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0802,0.0765,0.0531,0.0535,0.0532,0.217,0.205,0.142,0.143,0.143,0.1084,0.1025,0.0711,0.0717,0.0713,76.216,4,"=1.102e-15",0.058,26.773,"<",81.503,4,"<2.2e-16",0.062,26.848,"<",81.503,4,"<2.2e-16",0.062,26.848,"<"
210,"ex210","faces_ex210.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0431,0.0576,0.04,0.0402,0.0406,0.116,0.155,0.107,0.108,0.109,0.058,0.0773,0.0535,0.0538,0.0545,56.562,4,"=1.528e-11",0.043,23.7,"<",66.015,4,"=1.573e-13",0.05,23.734,"<",66.015,4,"=1.573e-13",0.05,23.734,"<"
211,"ex211","faces_ex211.lst",1,"Poisson","(iv)","(iii)","(iv)",0.1005,0.1046,0.076,0.0759,0.0762,0.269,0.282,0.203,0.203,0.204,0.135,0.141,0.102,0.101,0.102,31.673,4,"=2.232e-06",0.024,20.665,"<",30.977,4,"=3.095e-06",0.023,21.14,"<",30.977,4,"=3.095e-06",0.023,21.14,"<"
212,"ex212","faces_ex212.lst",1,"Poisson","(iv)","(iii)","(iv)",0.0864,0.0786,0.0586,0.0583,0.0588,0.235,0.211,0.157,0.157,0.158,0.1173,0.1053,0.0786,0.0783,0.0791,48.638,4,"=6.949e-10",0.037,29.17,"<",55.838,4,"=2.169e-11",0.042,29.089,"<",55.838,4,"=2.169e-11",0.042,29.089,"<"
213,"ex213","faces_ex213.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0403,0.0565,0.0382,0.0386,0.0389,0.109,0.152,0.103,0.104,0.105,0.0543,0.0761,0.0513,0.0518,0.0525,68.684,4,"=4.304e-14",0.052,27.651,"<",74.07,4,"=3.133e-15",0.056,27.98,"<",74.07,4,"=3.133e-15",0.056,27.98,"<"
214,"ex214","faces_ex214.lst",1,"Poisson","(iv)","(iv)","(iii)",0.0938,0.1019,0.0827,0.0825,0.0825,0.253,0.274,0.223,0.222,0.222,0.127,0.137,0.111,0.111,0.111,17.784,4,"=0.00136",0.013,12.404,"6.616e-10",17.956,4,"=0.001259",0.014,12.244,"8.899e-10",17.956,4,"=0.001259",0.014,12.244,"8.899e-10"
215,"ex215","faces_ex215.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0795,0.0783,0.0533,0.0537,0.0539,0.216,0.21,0.144,0.144,0.145,0.1079,0.105,0.0718,0.0722,0.0725,62.041,4,"=1.08e-12",0.047,25.026,"<",62.184,4,"=1.008e-12",0.047,25.474,"<",62.184,4,"=1.008e-12",0.047,25.474,"<"
216,"ex216","faces_ex216.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0424,0.0628,0.0391,0.0393,0.0396,0.114,0.169,0.105,0.106,0.107,0.057,0.0845,0.0525,0.0528,0.0533,160.99,4,"<2.2e-16",0.122,47.932,"<",156.84,4,"<2.2e-16",0.119,48.619,"<",156.84,4,"<2.2e-16",0.119,48.619,"<"
217,"ex217","faces_ex217.lst",1,"Poisson","(iv)","(iv)","(iv)",0.139,0.19,0.138,0.137,0.139,0.378,0.511,0.373,0.371,0.375,0.189,0.255,0.187,0.186,0.188,35.343,4,"=3.949e-07",0.027,58.306,"<",39.75,4,"=4.875e-08",0.03,55.598,"<",39.75,4,"=4.875e-08",0.03,55.598,"<"
218,"ex218","faces_ex218.lst",1,"Poisson","(v)","(v)","(v)",0.101,0.13,0.104,0.102,0.1,0.274,0.351,0.28,0.275,0.27,0.137,0.175,0.14,0.138,0.135,68.463,4,"=4.79e-14",0.052,40.623,"<",69.566,4,"=2.803e-14",0.053,40.49,"<",69.566,4,"=2.803e-14",0.053,40.49,"<"
219,"ex219","faces_ex219.lst",1,"Poisson","(iv)","(iv)","(iv)",0.0728,0.1003,0.0715,0.0709,0.0801,0.197,0.27,0.192,0.19,0.217,0.0985,0.1352,0.0958,0.0952,0.1086,77.537,4,"=5.789e-16",0.059,33.532,"<",75.181,4,"=1.825e-15",0.057,33.726,"<",75.181,4,"=1.825e-15",0.057,33.726,"<"
220,"ex220","faces_ex220.lst",1,"Poisson","(iv)","(iv)","(iv)",0.134,0.176,0.132,0.13,0.135,0.36,0.474,0.354,0.35,0.363,0.18,0.237,0.177,0.175,0.181,23.404,4,"=0.0001052",0.018,29.25,"<",24.958,4,"=5.131e-05",0.019,29.176,"<",24.958,4,"=5.131e-05",0.019,29.176,"<"
221,"ex221","faces_ex221.lst",1,"Poisson","(i)","(v)","(i)",0.0959,0.1282,0.0983,0.0968,0.0959,0.259,0.344,0.264,0.261,0.258,0.129,0.172,0.132,0.131,0.129,75.959,4,"=1.249e-15",0.058,59.724,"<",77.023,4,"=7.437e-16",0.058,58.095,"<",77.023,4,"=7.437e-16",0.058,58.095,"<"
222,"ex222","faces_ex222.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0722,0.101,0.0712,0.0726,0.074,0.195,0.271,0.191,0.195,0.2,0.0973,0.1353,0.0954,0.0975,0.0999,98.819,4,"<2.2e-16",0.075,64.542,"<",97.91,4,"<2.2e-16",0.074,61.411,"<",97.91,4,"<2.2e-16",0.074,61.411,"<"
223,"ex223","faces_ex223.lst",1,"Poisson","(i)","(i)","(i)",0.131,0.175,0.133,0.132,0.137,0.353,0.47,0.357,0.355,0.368,0.177,0.235,0.179,0.178,0.184,39.893,4,"=4.554e-08",0.03,32.539,"<",29.947,4,"=5.018e-06",0.023,32.739,"<",29.947,4,"=5.018e-06",0.023,32.739,"<"
224,"ex224","faces_ex224.lst",1,"Poisson","(v)","(iv)","(iv)",0.0992,0.1429,0.1022,0.0986,0.0982,0.267,0.383,0.275,0.264,0.264,0.133,0.192,0.137,0.132,0.132,93.394,4,"<2.2e-16",0.071,53.013,"<",102.97,4,"<2.2e-16",0.078,53.011,"<",102.97,4,"<2.2e-16",0.078,53.011,"<"
225,"ex225","faces_ex225.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0749,0.1056,0.0725,0.0738,0.0852,0.203,0.284,0.195,0.199,0.23,0.1013,0.1419,0.0976,0.0993,0.1152,81.787,4,"<2.2e-16",0.062,33.869,"<",82.759,4,"<2.2e-16",0.063,32.595,"<",82.759,4,"<2.2e-16",0.063,32.595,"<"
226,"ex226","faces_ex226.lst",1,"Poisson","(i)","(iv)","(iv)",0.135,0.176,0.135,0.135,0.135,0.361,0.474,0.362,0.36,0.361,0.181,0.237,0.181,0.18,0.18,14.766,4,"=0.005212",0.011,28.702,"<",14.817,4,"=0.005096",0.011,29.445,"<",14.817,4,"=0.005096",0.011,29.445,"<"
227,"ex227","faces_ex227.lst",1,"Poisson","(v)","(v)","(v)",0.106,0.142,0.107,0.106,0.105,0.285,0.379,0.284,0.284,0.282,0.143,0.19,0.142,0.142,0.141,56.579,4,"=1.516e-11",0.043,45.398,"<",53.067,4,"=8.252e-11",0.04,45.077,"<",53.067,4,"=8.252e-11",0.04,45.077,"<"
228,"ex228","faces_ex228.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0772,0.1064,0.0754,0.0768,0.0837,0.209,0.285,0.202,0.207,0.227,0.105,0.142,0.101,0.103,0.113,80.279,4,"<2.2e-16",0.061,34.414,"<",83.256,4,"<2.2e-16",0.063,33.002,"<",83.256,4,"<2.2e-16",0.063,33.002,"<"
229,"ex229","faces_ex229.lst",1,"Poisson","(iv)","(v)","(v)",0.14,0.175,0.136,0.135,0.135,0.375,0.468,0.365,0.362,0.361,0.188,0.234,0.183,0.181,0.18,18.713,4,"=0.0008949",0.014,31.97,"<",16.245,4,"=0.002708",0.012,31.754,"<",16.245,4,"=0.002708",0.012,31.754,"<"
230,"ex230","faces_ex230.lst",1,"Poisson","(v)","(v)","(v)",0.0949,0.1292,0.0954,0.0949,0.0933,0.257,0.348,0.257,0.255,0.252,0.128,0.174,0.129,0.128,0.126,73.447,4,"=4.244e-15",0.056,43.201,"<",72.601,4,"=6.406e-15",0.055,41.964,"<",72.601,4,"=6.406e-15",0.055,41.964,"<"
231,"ex231","faces_ex231.lst",1,"Poisson","(iii)","(iii)","(iii)",0.072,0.1072,0.0709,0.0729,0.0734,0.195,0.29,0.191,0.197,0.199,0.0974,0.1449,0.0955,0.0985,0.0995,118.84,4,"<2.2e-16",0.09,64.032,"<",120.74,4,"<2.2e-16",0.091,61.142,"<",120.74,4,"<2.2e-16",0.091,61.142,"<"
232,"ex232","faces_ex232.lst",1,"Poisson","(v)","(v)","(v)",0.138,0.172,0.136,0.136,0.135,0.37,0.461,0.366,0.364,0.362,0.185,0.23,0.183,0.182,0.181,16.439,4,"=0.002484",0.012,24.093,"<",18.621,4,"=0.0009329",0.014,24.203,"<",18.621,4,"=0.0009329",0.014,24.203,"<"
233,"ex233","faces_ex233.lst",1,"Poisson","(v)","(v)","(v)",0.1046,0.1329,0.1027,0.1018,0.0982,0.283,0.357,0.276,0.275,0.266,0.142,0.179,0.138,0.137,0.133,101.12,4,"<2.2e-16",0.077,38.528,"<",91.421,4,"<2.2e-16",0.069,36.788,"<",91.421,4,"<2.2e-16",0.069,36.788,"<"
234,"ex234","faces_ex234.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0733,0.1041,0.0697,0.0718,0.075,0.198,0.279,0.186,0.192,0.203,0.0989,0.1395,0.0931,0.0962,0.1013,108.79,4,"<2.2e-16",0.082,75.7,"<",120.1,4,"<2.2e-16",0.091,73.586,"<",120.1,4,"<2.2e-16",0.091,73.586,"<"
235,"ex235","faces_ex235.lst",1,"Poisson","(i)","(i)","(i)",0.137,0.187,0.138,0.138,0.138,0.366,0.501,0.369,0.37,0.371,0.183,0.251,0.185,0.185,0.185,65.132,4,"=2.413e-13",0.049,46.786,"<",63.707,4,"=4.818e-13",0.048,45.067,"<",63.707,4,"=4.818e-13",0.048,45.067,"<"
236,"ex236","faces_ex236.lst",1,"Poisson","(v)","(v)","(v)",0.0984,0.1283,0.1005,0.0998,0.0969,0.264,0.344,0.27,0.268,0.26,0.132,0.172,0.135,0.134,0.13,56.686,4,"=1.44e-11",0.043,49.696,"<",62.136,4,"=1.031e-12",0.047,50.051,"<",62.136,4,"=1.031e-12",0.047,50.051,"<"
237,"ex237","faces_ex237.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0684,0.0945,0.0656,0.0676,0.072,0.185,0.253,0.176,0.181,0.196,0.0927,0.1267,0.088,0.0907,0.0979,105.24,4,"<2.2e-16",0.08,45.238,"<",102.96,4,"<2.2e-16",0.078,42.364,"<",102.96,4,"<2.2e-16",0.078,42.364,"<"
238,"ex238","faces_ex238.lst",1,"Poisson","(v)","(v)","(v)",0.143,0.179,0.141,0.141,0.138,0.386,0.481,0.381,0.38,0.371,0.193,0.241,0.191,0.19,0.186,36.288,4,"=2.524e-07",0.027,26.198,"<",34.456,4,"=6.008e-07",0.026,25.729,"<",34.456,4,"=6.008e-07",0.026,25.729,"<"
239,"ex239","faces_ex239.lst",1,"Poisson","(v)","(v)","(v)",0.0948,0.1319,0.0944,0.0937,0.0929,0.256,0.355,0.254,0.252,0.25,0.128,0.177,0.127,0.126,0.125,102.06,4,"<2.2e-16",0.077,49.102,"<",89.835,4,"<2.2e-16",0.068,47.415,"<",89.835,4,"<2.2e-16",0.068,47.415,"<"
240,"ex240","faces_ex240.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0742,0.1056,0.0703,0.0719,0.0766,0.2,0.285,0.189,0.194,0.208,0.1002,0.1423,0.0947,0.0969,0.1039,141.23,4,"<2.2e-16",0.107,72.755,"<",133.7,4,"<2.2e-16",0.101,69.099,"<",133.7,4,"<2.2e-16",0.101,69.099,"<"
241,"ex241","faces_ex241.lst",1,"Poisson","(iv)","(iv)","(iv)",0.139,0.182,0.139,0.137,0.138,0.375,0.491,0.374,0.37,0.372,0.188,0.245,0.187,0.185,0.186,26.313,4,"=2.737e-05",0.02,34.944,"<",27.624,4,"=1.486e-05",0.021,35.586,"<",27.624,4,"=1.486e-05",0.021,35.586,"<"
242,"ex242","faces_ex242.lst",1,"Poisson","(v)","(v)","(v)",0.1,0.131,0.101,0.101,0.098,0.272,0.353,0.272,0.272,0.265,0.136,0.176,0.136,0.136,0.133,89.127,4,"<2.2e-16",0.068,53.517,"<",82.286,4,"<2.2e-16",0.062,51.039,"<",82.286,4,"<2.2e-16",0.062,51.039,"<"
243,"ex243","faces_ex243.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0749,0.1087,0.0723,0.0731,0.0788,0.203,0.292,0.194,0.197,0.214,0.1016,0.1462,0.0971,0.0985,0.1069,95.888,4,"<2.2e-16",0.073,44.854,"<",93.038,4,"<2.2e-16",0.07,43.087,"<",93.038,4,"<2.2e-16",0.07,43.087,"<"
244,"ex244","faces_ex244.lst",2,"Lognormal","(iii)","(iii)","(iii)",0.118,0.123,0.107,0.113,0.113,0.319,0.332,0.29,0.304,0.304,0.159,0.166,0.145,0.152,0.152,61.961,4,"=1.122e-12",0.047,11.73,"2.303e-09",70.642,4,"=1.661e-14",0.054,11.544,"3.25e-09",70.642,4,"=1.661e-14",0.054,11.544,"3.25e-09"
