"GEN","Nsamp","rep","theta","nll_cond","theta_hat","hit_upper"
"DMpure",25,1,0.000112533558260077,63.553535158787,3.73736993910899,FALSE
"DMpure",25,1,0.000203091762090474,61.7864629788954,3.73736993910899,FALSE
"DMpure",25,1,0.000366524123707963,60.0227056887455,3.73736993910899,FALSE
"DMpure",25,1,0.000661474064123015,58.2648809958415,3.73736993910899,FALSE
"DMpure",25,1,0.00119377664171444,56.5176038334578,3.73736993910899,FALSE
"DMpure",25,1,0.00215443469003188,54.7888618707021,3.73736993910899,FALSE
"DMpure",25,1,0.00388815518030809,53.0920415058752,3.73736993910899,FALSE
"DMpure",25,1,0.00701703828670383,51.4483678563723,3.73736993910899,FALSE
"DMpure",25,1,0.012663801734674,49.8885397769982,3.73736993910899,FALSE
"DMpure",25,1,0.0228546386413499,48.4509771390007,3.73736993910899,FALSE
"DMpure",25,1,0.0412462638290135,47.1745984068708,3.73736993910899,FALSE
"DMpure",25,1,0.0744380301325169,46.0892024479152,3.73736993910899,FALSE
"DMpure",25,1,0.13433993325989,45.2111621372736,3.73736993910899,FALSE
"DMpure",25,1,0.242446201708233,44.5456303288247,3.73736993910899,FALSE
"DMpure",25,1,0.437547937507418,44.0867307349653,3.73736993910899,FALSE
"DMpure",25,1,0.789652286849972,43.8117970511438,3.73736993910899,FALSE
"DMpure",25,1,1.425102670303,43.6781470192717,3.73736993910899,FALSE
"DMpure",25,1,2.57191380905935,43.6324331719819,3.73736993910899,FALSE
"DMpure",25,1,4.64158883361278,43.6283852723677,3.73736993910899,FALSE
"DMpure",25,1,8.37677640068292,43.6375999062334,3.73736993910899,FALSE
"DMpure",25,1,15.1177507061566,43.647687871632,3.73736993910899,FALSE
"DMpure",25,1,27.2833337648677,43.6551627435349,3.73736993910899,FALSE
"DMpure",25,1,49.2388263170673,43.6599584275934,3.73736993910899,FALSE
"DMpure",25,1,88.862381627434,43.6628309717744,3.73736993910899,FALSE
"DMpure",25,1,160.371874375133,43.6644913937203,3.73736993910899,FALSE
"DMpure",25,1,289.426612471675,43.6654330121287,3.73736993910899,FALSE
"DMpure",25,1,522.334507426684,43.6659614709006,3.73736993910899,FALSE
"DMpure",25,1,942.668455117885,43.6662563639966,3.73736993910899,FALSE
"DMpure",25,1,1701.25427985259,43.6664204038607,3.73736993910899,FALSE
"DMpure",25,1,3070.29062975785,43.6665114950083,3.73736993910899,FALSE
"DMpure",25,1,5541.0203300095,43.6665620292188,3.73736993910899,FALSE
"DMpure",25,1,10000,43.6665900485532,3.73736993910899,FALSE
"DMstrong",25,1,1e-06,99.3167603289981,10000,TRUE
"DMstrong",25,1,1.80472176682717e-06,96.9551776823472,10000,TRUE
"DMstrong",25,1,3.25702065565979e-06,94.5936297088615,10000,TRUE
"DMstrong",25,1,5.87801607227492e-06,92.2321443060599,10000,TRUE
"DMstrong",25,1,1.06081835513945e-05,89.8707718105229,10000,TRUE
"DMstrong",25,1,1.91448197616996e-05,87.5096030310075,10000,TRUE
"DMstrong",25,1,3.45510729459222e-05,85.148801738897,10000,TRUE
"DMstrong",25,1,6.23550734127392e-05,82.7886631278701,10000,TRUE
"DMstrong",25,1,0.000112533558260077,80.4297187441256,10000,TRUE
"DMstrong",25,1,0.000203091762090474,78.0729239999607,10000,TRUE
"DMstrong",25,1,0.000366524123707963,75.7199905999272,10000,TRUE
"DMstrong",25,1,0.000661474064123015,73.3739673488192,10000,TRUE
"DMstrong",25,1,0.00119377664171444,71.0402281042103,10000,TRUE
"DMstrong",25,1,0.00215443469003188,68.7280700398895,10000,TRUE
"DMstrong",25,1,0.00388815518030809,66.4530582127155,10000,TRUE
"DMstrong",25,1,0.00701703828670383,64.2398082829913,10000,TRUE
"DMstrong",25,1,0.012663801734674,62.1236727675951,10000,TRUE
"DMstrong",25,1,0.0228546386413499,60.1480074252858,10000,TRUE
"DMstrong",25,1,0.0412462638290135,58.3541220552461,10000,TRUE
"DMstrong",25,1,0.0744380301325169,56.7679047058134,10000,TRUE
"DMstrong",25,1,0.13433993325989,55.3952356049749,10000,TRUE
"DMstrong",25,1,0.242446201708233,54.2318078114164,10000,TRUE
"DMstrong",25,1,0.437547937507418,53.2758720944639,10000,TRUE
"DMstrong",25,1,0.789652286849972,52.5289151376667,10000,TRUE
"DMstrong",25,1,1.425102670303,51.9835998384582,10000,TRUE
"DMstrong",25,1,2.57191380905935,51.6138692504619,10000,TRUE
"DMstrong",25,1,4.64158883361278,51.3792364784366,10000,TRUE
"DMstrong",25,1,8.37677640068292,51.237668763376,10000,TRUE
"DMstrong",25,1,15.1177507061566,51.1551271200693,10000,TRUE
"DMstrong",25,1,27.2833337648677,51.1080205676551,10000,TRUE
"DMstrong",25,1,49.2388263170673,51.081477030439,10000,TRUE
"DMstrong",25,1,88.862381627434,51.0666297890675,10000,TRUE
"DMstrong",25,1,160.371874375133,51.0583594304594,10000,TRUE
"DMstrong",25,1,289.426612471675,51.0537633450322,10000,TRUE
"DMstrong",25,1,522.334507426684,51.051212491313,10000,TRUE
"DMstrong",25,1,942.668455117885,51.0497977794112,10000,TRUE
"DMstrong",25,1,1701.25427985259,51.0490134916545,10000,TRUE
"DMstrong",25,1,3070.29062975785,51.0485787951329,10000,TRUE
"DMstrong",25,1,5541.0203300095,51.0483378916979,10000,TRUE
"DMstrong",25,1,10000,51.0482043951051,10000,TRUE
"MN",125,1,1e-06,296.716560055332,10000,TRUE
"MN",125,1,1.80472176682717e-06,294.355138449004,10000,TRUE
"MN",125,1,3.25702065565979e-06,291.993881059959,10000,TRUE
"MN",125,1,5.87801607227492e-06,289.632919923205,10000,TRUE
"MN",125,1,1.06081835513945e-05,287.27249306774,10000,TRUE
"MN",125,1,1.91448197616996e-05,284.913029232715,10000,TRUE
"MN",125,1,3.45510729459222e-05,282.555299456241,10000,TRUE
"MN",125,1,6.23550734127392e-05,280.200686453034,10000,TRUE
"MN",125,1,0.000112533558260077,277.851657308237,10000,TRUE
"MN",125,1,0.000203091762090474,275.512573959696,10000,TRUE
"MN",125,1,0.000366524123707963,273.191024092905,10000,TRUE
"MN",125,1,0.000661474064123015,270.899831534797,10000,TRUE
"MN",125,1,0.00119377664171444,268.659602957548,10000,TRUE
"MN",125,1,0.00215443469003188,266.500698347592,10000,TRUE
"MN",125,1,0.00388815518030809,264.461746293776,10000,TRUE
"MN",125,1,0.00701703828670383,262.581022088017,10000,TRUE
"MN",125,1,0.012663801734674,260.881520206195,10000,TRUE
"MN",125,1,0.0228546386413499,259.3599500306,10000,TRUE
"MN",125,1,0.0412462638290135,257.991211860521,10000,TRUE
"MN",125,1,0.0744380301325169,256.746324539027,10000,TRUE
"MN",125,1,0.13433993325989,255.60991954721,10000,TRUE
"MN",125,1,0.242446201708233,254.587411869901,10000,TRUE
"MN",125,1,0.437547937507418,253.701390472688,10000,TRUE
"MN",125,1,0.789652286849972,252.979015597497,10000,TRUE
"MN",125,1,1.425102670303,252.434233419069,10000,TRUE
"MN",125,1,2.57191380905935,252.055923957506,10000,TRUE
"MN",125,1,4.64158883361278,251.81182079161,10000,TRUE
"MN",125,1,8.37677640068292,251.662934905619,10000,TRUE
"MN",125,1,15.1177507061566,251.575545747844,10000,TRUE
"MN",125,1,27.2833337648677,251.52547595422,10000,TRUE
