"p1","p2","p3","rmse_ii","rmse_iii","Sample size by group"
0.2,0.55,0.25,0.0151539805179914,0.03054651890047,"67-36-187-26-94-152-63-31-105-42"
0.2,0.6,0.2,0.0507667156998176,0.0663163904705192,"90-23-48-27-113-159-21-84-28-101"
0.2,0.65,0.15,0.0565604982331863,0.0398356887428794,"25-188-144-38-35-25-95-156-28-72"
0.2,0.7,0.1,0.358124555127094,0.0378056477150775,"23-115-23-97-173-21-87-111-118-49"
0.2,0.75,0.05,0.0214474519895946,0.0116294854424537,"47-44-154-44-35-85-60-78-36-29"
0.25,0.05,0.7,0.0352484759699267,0.0239246021626541,"57-78-67-28-58-51-70-182-137-52"
0.25,0.1,0.65,0.0420229761322995,0.0425761781655556,"145-26-56-58-140-163-117-70-21-47"
0.25,0.15,0.6,0.0294733340335034,0.0350079043690668,"177-118-143-27-93-173-34-31-31-79"
0.25,0.2,0.55,0.136869463460164,0.0423627825679311,"46-56-32-80-41-48-91-26-25-151"
0.25,0.25,0.5,0.0496728530943594,0.0581719304089668,"40-41-70-31-28-98-183-44-23-27"
0.25,0.3,0.45,0.048354092760001,0.0576462603035767,"21-34-33-184-26-38-31-67-89-31"
0.25,0.35,0.4,0.0501026656983112,0.0367953629216402,"127-109-42-28-27-31-166-94-49-141"
0.25,0.4,0.35,0.0654027826250788,0.0158251380222686,"20-46-22-82-121-53-87-121-79-27"
0.25,0.45,0.3,0.0278808311347037,0.0265361810178345,"65-76-33-21-64-29-85-30-147-143"
0.25,0.5,0.25,0.0342642059679414,0.00946811953132203,"33-70-71-29-129-37-54-107-57-104"
0.25,0.55,0.2,0.0465639499321561,0.0445262325076282,"90-24-73-36-26-141-29-24-41-129"
0.25,0.6,0.15,0.0565224666125612,0.012811680396273,"152-156-41-75-73-126-157-185-71-28"
0.25,0.65,0.1,0.0104009889835232,0.0328599625663302,"47-76-146-111-45-173-30-62-85-37"
