"GEN","Nsamp","rep","FIT","conv","rmse_p","theta_hat","hit_upper","p1_hat","p2_hat","p3_hat"
"MN",250,6,"DM",TRUE,0.0146969416889416,10000,TRUE,0.218000009532123,0.282000001614783,0.499999988853094
"DMpure",250,6,"MN",TRUE,0.0058878405775519,NA,NA,0.192,0.306,0.502
"DMpure",250,6,"DM",TRUE,0.00588721255940634,10000,TRUE,0.192000930282635,0.305999552439105,0.50199951727826
"DMstrong",250,6,"MN",TRUE,0.15997499804657,NA,NA,0.304,0.422,0.274
"DMstrong",250,6,"DM",TRUE,0.155790605747689,0.0881091413523713,FALSE,0.2887542016911,0.430259917052945,0.280985881255955
"MN",25,7,"MN",TRUE,0.0432049379893857,NA,NA,0.18,0.36,0.46
"MN",25,7,"DM",TRUE,0.0431994784104955,10000,TRUE,0.180071394095198,0.359978604931201,0.459950000973601
"DMpure",25,7,"MN",TRUE,0.058878405775519,NA,NA,0.14,0.38,0.48
"DMpure",25,7,"DM",TRUE,0.0588779007677416,10000,TRUE,0.140001074947088,0.379999537952352,0.479999387100559
"DMstrong",25,7,"MN",TRUE,0.0432049379893858,NA,NA,0.14,0.34,0.52
"DMstrong",25,7,"DM",TRUE,0.0643616212166586,0.153472384996176,FALSE,0.11300936023466,0.320298361604319,0.566692278161021
"MN",125,7,"MN",TRUE,0.0395979797464467,NA,NA,0.228,0.328,0.444
"MN",125,7,"DM",TRUE,0.039598186059615,10000,TRUE,0.228000030243627,0.328000261527095,0.443999708229279
"DMpure",125,7,"MN",TRUE,0.0149666295470958,NA,NA,0.196,0.284,0.52
"DMpure",125,7,"DM",TRUE,0.0149756250941694,10000,TRUE,0.195997706687121,0.283990309457132,0.520011983855746
"DMstrong",125,7,"MN",TRUE,0.0580574428188727,NA,NA,0.28,0.244,0.476
"DMstrong",125,7,"DM",TRUE,0.0680820243203356,0.213217039818593,FALSE,0.29244187895292,0.230463458127881,0.477094662919199
"MN",250,7,"MN",TRUE,0.0165730705262081,NA,NA,0.204,0.318,0.478
"MN",250,7,"DM",TRUE,0.0165728664779518,10000,TRUE,0.203999789879604,0.317999882949797,0.478000327170599
"DMpure",250,7,"MN",TRUE,0.0272763633939717,NA,NA,0.236,0.294,0.47
"DMpure",250,7,"DM",TRUE,0.0272768074565555,10000,TRUE,0.23599744558174,0.294008536314574,0.469994018103686
"DMstrong",250,7,"MN",TRUE,0.126943557011243,NA,NA,0.362,0.152,0.486
"DMstrong",250,7,"DM",TRUE,0.125309458307013,0.0439328240020456,FALSE,0.367946423879119,0.167045265611083,0.465008310509798
"MN",25,8,"MN",TRUE,0.0653197264742181,NA,NA,0.28,0.3,0.42
"MN",25,8,"DM",TRUE,0.0653176305249888,10000,TRUE,0.279995742301708,0.300003381283257,0.420000876415035
"DMpure",25,8,"MN",TRUE,0.0282842712474619,NA,NA,0.18,0.34,0.48
"DMpure",25,8,"DM",TRUE,0.0282887672571509,10000,TRUE,0.180000198352457,0.340006358127793,0.47999344351975
"DMstrong",25,8,"MN",TRUE,0.283313724811677,NA,NA,0.58,0,0.42
"DMstrong",25,8,"DM",TRUE,0.283507964363011,0.407627263493732,FALSE,0.580358944922567,4.31249690145083e-07,0.419640623827743
"MN",125,8,"MN",TRUE,0.0574108003776293,NA,NA,0.228,0.352,0.42
"MN",125,8,"DM",TRUE,0.0574108246370214,10000,TRUE,0.228000100233024,0.351999949644546,0.41999995012243
"DMpure",125,8,"MN",TRUE,0.0203960780543712,NA,NA,0.172,0.32,0.508
"DMpure",125,8,"DM",TRUE,0.0204025773117182,10000,TRUE,0.171991700842772,0.320008241948021,0.508000057209206
"DMstrong",125,8,"MN",TRUE,0.230084042616316,NA,NA,0.064,0.624,0.312
"DMstrong",125,8,"DM",TRUE,0.229359921874008,1.15522795410203,FALSE,0.0650520986490428,0.622916231012556,0.312031670338401
"MN",250,8,"MN",TRUE,0.00864098759787715,NA,NA,0.208,0.288,0.504
"MN",250,8,"DM",TRUE,0.00864096255503436,10000,TRUE,0.208000808580965,0.28800024277604,0.503998948642995
"DMpure",250,8,"MN",TRUE,0.0412148840428633,NA,NA,0.242,0.244,0.514
"DMpure",250,8,"DM",TRUE,0.0412147365460185,10000,TRUE,0.242002804859475,0.244001382669799,0.513995812470725
"DMstrong",250,8,"MN",TRUE,0.0800166649309172,NA,NA,0.278,0.19,0.532
"DMstrong",250,8,"DM",TRUE,0.0806483430795089,0.208427420380729,FALSE,0.281721161946983,0.190237520433425,0.528041317619592
"MN",25,9,"MN",TRUE,0.0565685424949238,NA,NA,0.24,0.34,0.42
"MN",25,9,"DM",TRUE,0.0565682599828649,10000,TRUE,0.239999574085104,0.340000026382085,0.420000399532811
"DMpure",25,9,"MN",TRUE,0.0979795897113271,NA,NA,0.32,0.18,0.5
"DMpure",25,9,"DM",TRUE,0.0979765562211566,10000,TRUE,0.319992916597074,0.180000347383728,0.500006736019198
"DMstrong",25,9,"MN",TRUE,0.172819751957543,NA,NA,0.28,0.46,0.26
"DMstrong",25,9,"DM",TRUE,0.163767152333397,0.12639997953145,FALSE,0.153836498308111,0.519630011099609,0.32653349059228
"MN",125,9,"MN",TRUE,0.0235513623102076,NA,NA,0.168,0.324,0.508
"MN",125,9,"DM",TRUE,0.0255066431631595,1.0020546658852,FALSE,0.165045644628472,0.325192619902502,0.509761735469026
"DMpure",125,9,"MN",TRUE,0.0259229627936314,NA,NA,0.188,0.276,0.536
"DMpure",125,9,"DM",TRUE,0.0261148398553338,2.11473892596716,FALSE,0.189407770538482,0.274655768824087,0.535936460637431
"DMstrong",125,9,"MN",TRUE,0.0228619042659763,NA,NA,0.22,0.312,0.468
"DMstrong",125,9,"DM",TRUE,0.024744484468646,0.317152469429294,FALSE,0.214565528834549,0.320272966288988,0.465161504876463
"MN",250,9,"MN",TRUE,0.0277608837515427,NA,NA,0.234,0.266,0.5
