"mesh_id","sim_id","p1","p2","p3","rmse_i","L1_norm_i","Linf_norm_i","p_hat_i_1","p_hat_i_2","p_hat_i_3","rmse_ii","L1_norm_ii","Linf_norm_ii","p_hat_ii_1","p_hat_ii_2","p_hat_ii_3","rmse_iii","L1_norm_iii","Linf_norm_iii","p_hat_iii_1","p_hat_iii_2","p_hat_iii_3","rmse_iv","L1_norm_iv","Linf_norm_iv","p_hat_iv_1","p_hat_iv_2","p_hat_iv_3","rmse_v","L1_norm_v","Linf_norm_v","p_hat_v_1","p_hat_v_2","p_hat_v_3","N1","X1_1","X1_2","X1_3","N2","X2_1","X2_2","X2_3"
221,4,0.0434782608695652,0.217391304347826,0.739130434782609,0.0757832753442907,0.213146888456123,0.106573444228061,1.37931943156988e-06,0.154294741669898,0.84570387901067,0.0309625872046408,0.0869547527424159,0.043477376371208,8.84498357262885e-07,0.234623217909076,0.765375897592567,0.0653856765175923,0.184830817969234,0.0924154089846171,4.45051370563273e-06,0.168449705719069,0.831545843767226,0.0646392402640778,0.182756079587325,0.0913780397936625,0,0.169491525423729,0.830508474576271,0.0659020097311396,0.186262305200477,0.0931311526002386,3.58110898578406e-06,0.167734831508167,0.832261587382847,36,0,9,27,23,0,1,22
221,5,0.0434782608695652,0.217391304347826,0.739130434782609,0.036855979153315,0.103287059113747,0.0516435295568736,0.023760117164363,0.185465918496155,0.790773964339482,0.0496296378720662,0.134447845349928,0.067223922674964,0.0273408409598715,0.28461522702279,0.688043932017338,0.027229920735714,0.0756033391561219,0.037801669578061,0.0309396747194382,0.192128220919892,0.77693210436067,0.0356035007662635,0.100686498855835,0.0503432494279177,0.0175438596491228,0.192982456140351,0.789473684210526,0.0346788196591724,0.0974019159260071,0.0487009579630036,0.0241371051501841,0.188031502104204,0.787831392745612,30,1,9,20,27,0,2,25
222,1,0.173913043478261,0.0434782608695652,0.782608695652174,0.0390463523025485,0.101433713542206,0.0507168567711032,0.129639627076677,0.0370348205000463,0.833325552423277,0.0234685409344916,0.0598433607257287,0.0299216803628644,0.143991363115396,0.0460021237820707,0.810006513102533,0.0167483284283716,0.0415839457278474,0.0207919728639238,0.153121070614337,0.0440492711673934,0.802829658218269,0.0390533778924639,0.101449275362319,0.0507246376811594,0.12962962962963,0.037037037037037,0.833333333333333,0.0390500595169107,0.101434069012972,0.0507170345064862,0.129628419109123,0.0370458507322166,0.83332573015866,27,3,0,24,27,4,2,21
222,2,0.173913043478261,0.0434782608695652,0.782608695652174,0.052145944285079,0.142097265818647,0.0710486329093236,0.192323971041152,0.0961159662159978,0.71156006274285,0.0867825133752193,0.237111124051897,0.118555562025948,0.205709176503645,0.130237689870129,0.664053133626226,0.0588212241555707,0.166363484627085,0.0831817423135425,0.216213087394247,0.0843599592671213,0.699426953338631,0.0521665875427863,0.142140468227425,0.0710702341137124,0.192307692307692,0.0961538461538462,0.711538461538462,0.0517757656551575,0.141849380602129,0.0709246903010646,0.193615912335457,0.0947000823134338,0.711684005351109,31,6,5,20,21,4,0,17
222,3,0.173913043478261,0.0434782608695652,0.782608695652174,0.0844082415306199,0.22359979591018,0.11179989795509,0.285712941433351,0.023809706708681,0.690477351857968,0.105366968008625,0.272497335334609,0.136248667667305,0.310161711145566,0.027608327234931,0.662229961619504,0.09891486627956,0.245095460021143,0.122547730010571,0.296460773488832,0.0406232845784354,0.662915941932732,0.0844092717913895,0.22360248447205,0.111801242236025,0.285714285714286,0.0238095238095238,0.69047619047619,0.084410088657945,0.223604176782043,0.111802088391021,0.285715131869282,0.02380999705892,0.690474871071798,19,4,0,15,23,8,1,14
222,4,0.173913043478261,0.0434782608695652,0.782608695652174,0.0713517675094346,0.201197533320704,0.100598766660352,0.274511810138613,3.57909385738608e-08,0.725488154070449,0.0713512632431476,0.201196158846054,0.100598079423027,0.274511122901288,6.87511431868775e-08,0.725488808347569,0.0810316569813343,0.227121882320264,0.113560941160132,0.287473984638393,6.75838735559775e-06,0.712519256974252,0.0713502870199456,0.201193520886616,0.100596760443308,0.274509803921569,0,0.725490196078431,0.0713504010718167,0.201193793261253,0.100596896630626,0.274509940108887,2.15099480297112e-07,0.725489844791632,29,6,0,23,22,8,0,14
222,5,0.173913043478261,0.0434782608695652,0.782608695652174,0.0177495064267721,0.0473849727673993,0.0236924863836996,0.169247819316444,0.0671707472532648,0.763581433430291,0.124368950442715,0.351211757333668,0.175605878666834,0.253149461664168,0.139847721350492,0.60700281698534,0.0152593549370097,0.0405323877581233,0.0202661938790617,0.153646849599199,0.0600326434189001,0.786320506981901,0.0241890713158342,0.062111801242236,0.031055900621118,0.142857142857143,0.0714285714285714,0.785714285714286,0.0137495797705343,0.0355313253729266,0.0177656626864632,0.158184604946289,0.0612439235560285,0.780571471497683,32,2,0,30,24,6,4,14
223,1,0.130434782608696,0.0869565217391304,0.782608695652174,0.0739832871534853,0.184818088816361,0.0924090444081806,0.0417365367418364,0.179365566147311,0.778897897110853,0.0537959340204009,0.149422862420962,0.0747114312104813,0.0557233513982144,0.111876188512361,0.832400460089424,0.0729833119003749,0.19124158169892,0.0956207908494601,0.0489740678405482,0.182577312588591,0.768448619570861,0.0749273960697256,0.186086956521739,0.0930434782608696,0.04,0.18,0.78,0.0723221152449326,0.178270677444051,0.0891353387220255,0.0424286386723218,0.176091860461156,0.781479500866522,23,0,7,16,27,2,2,23
223,2,0.130434782608696,0.0869565217391304,0.782608695652174,0.0352652854866191,0.0906582051651953,0.0453291025825977,0.085105680026098,0.127632593925994,0.787261726047908,0.0352750572908522,0.090657813846378,0.0453289069231891,0.0851058756855066,0.12766154470867,0.787232579605823,0.0422626433227411,0.118191973071884,0.0590959865359418,0.108629192872296,0.146052508275072,0.745318298852631,0.0352741460960918,0.0906567992599445,0.0453283996299722,0.0851063829787234,0.127659574468085,0.787234042553192,0.0352733239569906,0.090656125405305,0.0453280627026525,0.0851067199060432,0.127657629438372,0.787235650655585,21,1,4,16,26,3,2,21
223,3,0.130434782608696,0.0869565217391304,0.782608695652174,0.0313433849188454,0.0882209439790765,0.0441104719895382,0.112162582815376,0.061118249542912,0.826719167641712,0.0635491970215657,0.163494575059875,0.0817472875299372,0.057222517981792,0.0784214988360968,0.864355983182111,0.0299085167092128,0.0734043730228942,0.0367021865114471,0.130290588775364,0.0503985290610148,0.819310882163621,0.0307437730950673,0.0869565217391304,0.0434782608695652,0.152173913043478,0.0434782608695652,0.804347826086957,0.0259999713622843,0.0651499199762185,0.0325749599881092,0.128917263771977,0.0558990805877396,0.815183655640283,29,7,0,22,17,0,2,15
223,4,0.130434782608696,0.0869565217391304,0.782608695652174,0.0207288891153303,0.0586204710648337,0.0293102355324169,0.116241006049375,0.116266757271547,0.767492236679078,0.0207407754236983,0.0586520354443561,0.029326017722178,0.116279869391465,0.116282539461308,0.767437591147227,0.0410533045637318,0.111862548526554,0.055931274263277,0.144915978970753,0.12840659964035,0.726677421388897,0.020738281176832,0.0586450960566229,0.0293225480283114,0.116279069767442,0.116279069767442,0.767441860465116,0.0207380286555937,0.058644219277695,0.0293221096388475,0.116282808849508,0.116278631377978,0.767438559772514,20,2,4,14,23,3,1,19
223,5,0.130434782608696,0.0869565217391304,0.782608695652174,0.13426645816085,0.355493224041136,0.177746612020568,0.0994046189490506,0.264703133759698,0.635892247291251,0.171746253647116,0.48437780640822,0.24218890320411,0.235605514911483,0.223974692640454,0.540419792448064,0.132758962139151,0.352092649270254,0.176046324635127,0.0989198650811149,0.263002846374257,0.638077288544628,0.123995259307805,0.310315430520034,0.155157715260017,0.137254901960784,0.235294117647059,0.627450980392157,0.134004575535782,0.355806946464829,0.177903473232415,0.0980392574609931,0.264859994971545,0.637100747567462,26,0,7,19,25,7,5,13
224,1,0.0869565217391304,0.130434782608696,0.782608695652174,0.363164404492601,0.890312236585582,0.445156118292791,0.531366949568658,0.131180473071959,0.337452577359383,0.53490101295765,1.38118050364404,0.690590251822018,0.6996324034292,0.208349152740645,0.0920184438301556,0.368747184353938,0.917581825501268,0.458790912750634,0.545747434489764,0.115736561279654,0.338516004230581,0.323883470069179,0.8016967126193,0.40084835630965,0.48780487804878,0.121951219512195,0.390243902439024,0.36693696268731,0.900831573797665,0.450415786898832,0.535342183040795,0.132464908205864,0.332192908753342,20,5,0,15,21,15,5,1
224,2,0.0869565217391304,0.130434782608696,0.782608695652174,0.124212448508851,0.336388302067181,0.16819415103359,0.127165737711251,0.258419717670166,0.614414544618583,0.208818635755163,0.562029646380137,0.281014823190068,0.14884564145141,0.349560486086484,0.501593872462106,0.12685892280327,0.347294950756048,0.173647475378024,0.134732914277187,0.256305865448663,0.60896122027415,0.12009471395803,0.318840579710145,0.159420289855073,0.115942028985507,0.260869565217391,0.623188405797101,0.121612267794754,0.329376003531236,0.164688001765618,0.126373700318045,0.255705605795399,0.617920693886556,33,5,13,15,36,3,5,28
224,3,0.0869565217391304,0.130434782608696,0.782608695652174,0.0795214813704276,0.211198404019073,0.105599202009537,0.0676547624593556,0.0441373398789338,0.88820789766171,0.0886337371019613,0.248263275675753,0.124131637837876,0.0399708684278414,0.0532887980821084,0.90674033349005,0.0764918353349093,0.202281227695201,0.101140613847601,0.0696192327681467,0.0466314577320788,0.883749309499775,0.0795091446461067,0.204013377926421,0.102006688963211,0.0769230769230769,0.0384615384615385,0.884615384615385,0.0792371475714555,0.209695370621399,0.1048476853107,0.0687819199021156,0.0437616991350109,0.887456380962874,27,4,0,23,25,0,2,23
224,4,0.0869565217391304,0.130434782608696,0.782608695652174,0.0361071188365997,0.099092704811009,0.0495463524055045,0.0728817224461091,0.0949632294962124,0.832155048057678,0.0855558792838663,0.218888324965058,0.109444162482529,0.0769132295809044,0.0310339122843929,0.892052858134703,0.0569442477122162,0.15788926841148,0.0789446342057402,0.0612602551899119,0.0771864149521739,0.861553329857914,0.0362050356778053,0.101449275362319,0.0507246376811594,0.0555555555555556,0.111111111111111,0.833333333333333,0.0454259545383747,0.121935800177153,0.0609679000885764,0.0740071771274073,0.0824162271318423,0.84357659574075,22,0,6,16,32,3,0,29
224,5,0.0869565217391304,0.130434782608696,0.782608695652174,0.0939190277080591,0.260858920339593,0.130429460169797,0.130438958150733,0.21738180636689,0.652179235482377,0.105418058300719,0.291150324766078,0.145575162383039,0.131898913100004,0.231067553630861,0.637033533269135,0.110845819694864,0.313016656394335,0.156508328197167,0.157526219725141,0.216373412819853,0.626100367455007,0.0939237782377951,0.260869565217391,0.130434782608696,0.130434782608696,0.217391304347826,0.652173913043478,0.0939232803367619,0.260870823445441,0.13043541172272,0.130441155788842,0.217385560281704,0.652173283929454,25,3,8,14,21,3,2,16
