"p1","p2","p3","rmse_i","rmse_ii","rmse_iii","rmse_iv","N1"
0.513513513513513,0.459459459459459,0.027027027027027,0.0107412333963134,0.0107403594206824,0.01073657899753,0.0107403722391766,180
0.486486486486487,0.486486486486487,0.027027027027027,0.0622221547168135,0.0622175414255232,0.062215556440231,0.0622173729062568,160
0.459459459459459,0.513513513513513,0.027027027027027,0.0249384967912975,0.0249362613643141,0.0249416785429498,0.02493895405399,217
0.432432432432432,0.540540540540541,0.027027027027027,0.0970658075273255,0.0970659138742137,0.097072086296033,0.0970659317470178,80
0.405405405405405,0.567567567567568,0.027027027027027,0.342579339492445,0.0498761836791779,0.0498725966379403,0.0498727684842091,80
0.918918918918919,0.027027027027027,0.0540540540540541,0.483135985518515,0.773296593272962,0.0284360330564245,0.0284364529667809,680
0.891891891891892,0.0540540540540541,0.0540540540540541,0.0545287503710933,0.0545298272597248,0.054530934017234,0.0545290069760213,888
0.864864864864865,0.0810810810810811,0.0540540540540541,0.0190975951673898,0.0191120129924688,0.0191110554315178,0.0191109940861229,74
0.837837837837838,0.108108108108108,0.0540540540540541,0.0223413205764595,0.707181425530971,0.0223476342779246,0.0223416947864594,327
0.810810810810811,0.135135135135135,0.0540540540540541,0.0306652027532644,0.030665134824632,0.030663995664194,0.0306649917178677,325
0.783783783783784,0.162162162162162,0.0540540540540541,0.0176317298273431,0.663126705145685,0.0176539691152762,0.017653980128167,185
0.756756756756757,0.189189189189189,0.0540540540540541,0.0366149194680538,0.0366151275433845,0.0366151679226094,0.0366152976139577,333
0.72972972972973,0.216216216216216,0.0540540540540541,0.0477109295179259,0.0477114113119627,0.0477132198326786,0.0477137206597432,143
0.702702702702703,0.243243243243243,0.0540540540540541,0.0316205119623113,0.0316204310623871,0.0316207366655815,0.0316205412585214,299
0.675675675675676,0.27027027027027,0.0540540540540541,0.0287331618005107,0.0287333818682562,0.0287134410020173,0.0287334797959071,109
0.648648648648649,0.297297297297297,0.0540540540540541,0.0408977044418876,0.0408970394337939,0.0408945565296657,0.040897104898892,227
0.621621621621622,0.324324324324324,0.0540540540540541,0.288735996542112,0.036492886637659,0.0364911258979986,0.036492965369667,99
