"p1","p2","p3","rmse_i","rmse_ii","rmse_iii","rmse_iv","rmse_v","N1"
0.405405405405405,0.459459459459459,0.135135135135135,0.134276132043921,0.134276998113545,0.114653441586528,0.134276538744299,0.134272487006503,59
0.378378378378378,0.486486486486487,0.135135135135135,0.289700442033596,0.289686544673041,0.286477516048711,0.289700514568919,0.28971363007708,67
0.351351351351351,0.513513513513513,0.135135135135135,0.10332130379681,0.103299300920269,0.0975168114080328,0.103296909457623,0.103304603174543,194
0.324324324324324,0.540540540540541,0.135135135135135,0.0799427621702598,0.0799475598123765,0.0814527042005936,0.0799430696342748,0.0799432320727028,319
0.297297297297297,0.567567567567568,0.135135135135135,0.527298017310186,0.0244170154163776,0.0282671778800487,0.0244169260834784,0.0244225095595672,507
0.810810810810811,0.027027027027027,0.162162162162162,0.0447458480466217,0.044747641932086,0.0479111104397355,0.0447463521847927,0.0447465880643899,68
0.783783783783784,0.0540540540540541,0.162162162162162,0.00768309581924262,0.00768256815547032,0.00657194334449579,0.0076827084340051,0.00768246257202066,277
0.756756756756757,0.0810810810810811,0.162162162162162,0.0179924435482955,0.0179895794978713,0.00995817785521704,0.0179919462422779,0.0179963385083406,101
0.72972972972973,0.108108108108108,0.162162162162162,0.0433853085254311,0.043386052755167,0.0483124052578104,0.0433851539809121,0.0433856758710813,453
0.702702702702703,0.135135135135135,0.162162162162162,0.0984134612014793,0.098415596220939,0.087583410337701,0.0984143955089293,0.0984143904513463,478
0.675675675675676,0.162162162162162,0.162162162162162,0.22772700005079,0.227768995736382,0.228000526861546,0.227757500663329,0.227736252216198,52
0.648648648648649,0.189189189189189,0.162162162162162,0.15121110292854,0.151177192734843,0.154837346338114,0.151176974991975,0.151176315712932,108
0.621621621621622,0.216216216216216,0.162162162162162,0.613350852305272,0.268435816804692,0.170868495710068,0.170770066908062,0.170770650772329,263
0.594594594594595,0.243243243243243,0.162162162162162,0.0940146419877785,0.0940190505484495,0.0957397867141117,0.0940147256316988,0.0940147178605004,686
0.567567567567568,0.27027027027027,0.162162162162162,0.106120062320582,0.53836733256747,0.0960804929070069,0.106118860547573,0.106100651073927,100
0.540540540540541,0.297297297297297,0.162162162162162,0.115007979522538,0.115011915895,0.105238452919982,0.115012457423318,0.115006591867143,116
0.513513513513513,0.324324324324324,0.162162162162162,0.497807467076861,0.035050204956802,0.0359363947358787,0.0350498710734781,0.0350463070360191,309
0.486486486486487,0.351351351351351,0.162162162162162,0.370024558501653,0.106153008078644,0.104650734673542,0.106155430235976,0.106154559934334,521
0.459459459459459,0.378378378378378,0.162162162162162,0.451665905895064,0.125973698963459,0.12274065222193,0.125973743602021,0.125970367866827,71
0.432432432432432,0.405405405405405,0.162162162162162,0.0566325881499471,0.0566324160922475,0.0581376952115829,0.0566318215042061,0.0566306290596204,292
