example_id,inp_file,design_block,dist_code,factor1,level1_code,factor2,level2_code,factor3,level3_code,factor4,level4_code,factor5,level5_code,K,G,h,theta_true,theta_CV,Nmin,Nmax,nsims,random.seed,od_mult,sigma,mean_nsamp,ln_sd,nb_size,N_range_label,p_lbound,p_ubound
76,hake_ex76.inp,Poisson,1,mean_nsamp,-1,sigma,1,theta_true,1,theta_CV,0,G,-1,3,2,0.05,2.0,0.2,50,100,10,2356,1.0,1.0,25,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
77,hake_ex77.inp,Poisson,1,mean_nsamp,-1,sigma,1,theta_true,1,theta_CV,0,G,0,3,4,0.05,2.0,0.2,50,100,10,2356,1.0,1.0,25,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
78,hake_ex78.inp,Poisson,1,mean_nsamp,-1,sigma,1,theta_true,1,theta_CV,0,G,1,3,8,0.05,2.0,0.2,50,100,10,2356,1.0,1.0,25,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
79,hake_ex79.inp,Poisson,1,mean_nsamp,-1,sigma,1,theta_true,1,theta_CV,1,G,-1,3,2,0.05,2.0,0.6,50,100,10,2356,1.0,1.0,25,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
80,hake_ex80.inp,Poisson,1,mean_nsamp,-1,sigma,1,theta_true,1,theta_CV,1,G,0,3,4,0.05,2.0,0.6,50,100,10,2356,1.0,1.0,25,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
81,hake_ex81.inp,Poisson,1,mean_nsamp,-1,sigma,1,theta_true,1,theta_CV,1,G,1,3,8,0.05,2.0,0.6,50,100,10,2356,1.0,1.0,25,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
82,hake_ex82.inp,Poisson,1,mean_nsamp,0,sigma,-1,theta_true,-1,theta_CV,-1,G,-1,3,2,0.05,0.5,0.0,50,100,10,2356,1.0,0.25,50,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
83,hake_ex83.inp,Poisson,1,mean_nsamp,0,sigma,-1,theta_true,-1,theta_CV,-1,G,0,3,4,0.05,0.5,0.0,50,100,10,2356,1.0,0.25,50,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
84,hake_ex84.inp,Poisson,1,mean_nsamp,0,sigma,-1,theta_true,-1,theta_CV,-1,G,1,3,8,0.05,0.5,0.0,50,100,10,2356,1.0,0.25,50,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
85,hake_ex85.inp,Poisson,1,mean_nsamp,0,sigma,-1,theta_true,-1,theta_CV,0,G,-1,3,2,0.05,0.5,0.2,50,100,10,2356,1.0,0.25,50,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
86,hake_ex86.inp,Poisson,1,mean_nsamp,0,sigma,-1,theta_true,-1,theta_CV,0,G,0,3,4,0.05,0.5,0.2,50,100,10,2356,1.0,0.25,50,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
87,hake_ex87.inp,Poisson,1,mean_nsamp,0,sigma,-1,theta_true,-1,theta_CV,0,G,1,3,8,0.05,0.5,0.2,50,100,10,2356,1.0,0.25,50,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
88,hake_ex88.inp,Poisson,1,mean_nsamp,0,sigma,-1,theta_true,-1,theta_CV,1,G,-1,3,2,0.05,0.5,0.6,50,100,10,2356,1.0,0.25,50,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
89,hake_ex89.inp,Poisson,1,mean_nsamp,0,sigma,-1,theta_true,-1,theta_CV,1,G,0,3,4,0.05,0.5,0.6,50,100,10,2356,1.0,0.25,50,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
90,hake_ex90.inp,Poisson,1,mean_nsamp,0,sigma,-1,theta_true,-1,theta_CV,1,G,1,3,8,0.05,0.5,0.6,50,100,10,2356,1.0,0.25,50,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
91,hake_ex91.inp,Poisson,1,mean_nsamp,0,sigma,-1,theta_true,0,theta_CV,-1,G,-1,3,2,0.05,1.0,0.0,50,100,10,2356,1.0,0.25,50,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
92,hake_ex92.inp,Poisson,1,mean_nsamp,0,sigma,-1,theta_true,0,theta_CV,-1,G,0,3,4,0.05,1.0,0.0,50,100,10,2356,1.0,0.25,50,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
93,hake_ex93.inp,Poisson,1,mean_nsamp,0,sigma,-1,theta_true,0,theta_CV,-1,G,1,3,8,0.05,1.0,0.0,50,100,10,2356,1.0,0.25,50,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
94,hake_ex94.inp,Poisson,1,mean_nsamp,0,sigma,-1,theta_true,0,theta_CV,0,G,-1,3,2,0.05,1.0,0.2,50,100,10,2356,1.0,0.25,50,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
95,hake_ex95.inp,Poisson,1,mean_nsamp,0,sigma,-1,theta_true,0,theta_CV,0,G,0,3,4,0.05,1.0,0.2,50,100,10,2356,1.0,0.25,50,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
96,hake_ex96.inp,Poisson,1,mean_nsamp,0,sigma,-1,theta_true,0,theta_CV,0,G,1,3,8,0.05,1.0,0.2,50,100,10,2356,1.0,0.25,50,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
97,hake_ex97.inp,Poisson,1,mean_nsamp,0,sigma,-1,theta_true,0,theta_CV,1,G,-1,3,2,0.05,1.0,0.6,50,100,10,2356,1.0,0.25,50,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
98,hake_ex98.inp,Poisson,1,mean_nsamp,0,sigma,-1,theta_true,0,theta_CV,1,G,0,3,4,0.05,1.0,0.6,50,100,10,2356,1.0,0.25,50,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
99,hake_ex99.inp,Poisson,1,mean_nsamp,0,sigma,-1,theta_true,0,theta_CV,1,G,1,3,8,0.05,1.0,0.6,50,100,10,2356,1.0,0.25,50,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
100,hake_ex100.inp,Poisson,1,mean_nsamp,0,sigma,-1,theta_true,1,theta_CV,-1,G,-1,3,2,0.05,2.0,0.0,50,100,10,2356,1.0,0.25,50,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
101,hake_ex101.inp,Poisson,1,mean_nsamp,0,sigma,-1,theta_true,1,theta_CV,-1,G,0,3,4,0.05,2.0,0.0,50,100,10,2356,1.0,0.25,50,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
102,hake_ex102.inp,Poisson,1,mean_nsamp,0,sigma,-1,theta_true,1,theta_CV,-1,G,1,3,8,0.05,2.0,0.0,50,100,10,2356,1.0,0.25,50,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
103,hake_ex103.inp,Poisson,1,mean_nsamp,0,sigma,-1,theta_true,1,theta_CV,0,G,-1,3,2,0.05,2.0,0.2,50,100,10,2356,1.0,0.25,50,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
104,hake_ex104.inp,Poisson,1,mean_nsamp,0,sigma,-1,theta_true,1,theta_CV,0,G,0,3,4,0.05,2.0,0.2,50,100,10,2356,1.0,0.25,50,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
105,hake_ex105.inp,Poisson,1,mean_nsamp,0,sigma,-1,theta_true,1,theta_CV,0,G,1,3,8,0.05,2.0,0.2,50,100,10,2356,1.0,0.25,50,1.0,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
