"example_id","inp_file","design_block","dist_code","factor1","level1_code","factor2","level2_code","factor3","level3_code","factor4","level4_code","factor5","level5_code","K","G","h","theta_true","theta_CV","Nmin","Nmax","nsims","random.seed","od_mult","sigma","mean_nsamp","ln_sd","nb_size","N_range_label","p_lbound","p_ubound"
43,"faces_ex43.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",0,"theta_CV",1,"G",-1,3,2,0.1,1,0.6,50,100,5,1580235529,1,0.5,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
44,"faces_ex44.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",0,"theta_CV",1,"G",0,3,4,0.1,1,0.6,50,100,5,1580235529,1,0.5,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
45,"faces_ex45.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",0,"theta_CV",1,"G",1,3,8,0.1,1,0.6,50,100,5,1580235529,1,0.5,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
46,"faces_ex46.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",1,"theta_CV",-1,"G",-1,3,2,0.1,2,0,50,100,5,1580235529,1,0.5,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
47,"faces_ex47.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",1,"theta_CV",-1,"G",0,3,4,0.1,2,0,50,100,5,1580235529,1,0.5,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
48,"faces_ex48.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",1,"theta_CV",-1,"G",1,3,8,0.1,2,0,50,100,5,1580235529,1,0.5,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
49,"faces_ex49.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",1,"theta_CV",0,"G",-1,3,2,0.1,2,0.2,50,100,5,1580235529,1,0.5,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
50,"faces_ex50.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",1,"theta_CV",0,"G",0,3,4,0.1,2,0.2,50,100,5,1580235529,1,0.5,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
51,"faces_ex51.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",1,"theta_CV",0,"G",1,3,8,0.1,2,0.2,50,100,5,1580235529,1,0.5,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
52,"faces_ex52.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",1,"theta_CV",1,"G",-1,3,2,0.1,2,0.6,50,100,5,1580235529,1,0.5,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
53,"faces_ex53.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",1,"theta_CV",1,"G",0,3,4,0.1,2,0.6,50,100,5,1580235529,1,0.5,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
54,"faces_ex54.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",1,"theta_CV",1,"G",1,3,8,0.1,2,0.6,50,100,5,1580235529,1,0.5,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
55,"faces_ex55.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",-1,"theta_CV",-1,"G",-1,3,2,0.1,0.5,0,50,100,5,1580235529,1,1,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
56,"faces_ex56.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",-1,"theta_CV",-1,"G",0,3,4,0.1,0.5,0,50,100,5,1580235529,1,1,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
57,"faces_ex57.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",-1,"theta_CV",-1,"G",1,3,8,0.1,0.5,0,50,100,5,1580235529,1,1,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
58,"faces_ex58.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",-1,"theta_CV",0,"G",-1,3,2,0.1,0.5,0.2,50,100,5,1580235529,1,1,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
59,"faces_ex59.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",-1,"theta_CV",0,"G",0,3,4,0.1,0.5,0.2,50,100,5,1580235529,1,1,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
60,"faces_ex60.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",-1,"theta_CV",0,"G",1,3,8,0.1,0.5,0.2,50,100,5,1580235529,1,1,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
61,"faces_ex61.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",-1,"theta_CV",1,"G",-1,3,2,0.1,0.5,0.6,50,100,5,1580235529,1,1,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
62,"faces_ex62.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",-1,"theta_CV",1,"G",0,3,4,0.1,0.5,0.6,50,100,5,1580235529,1,1,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
63,"faces_ex63.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",-1,"theta_CV",1,"G",1,3,8,0.1,0.5,0.6,50,100,5,1580235529,1,1,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
64,"faces_ex64.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",0,"theta_CV",-1,"G",-1,3,2,0.1,1,0,50,100,5,1580235529,1,1,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
65,"faces_ex65.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",0,"theta_CV",-1,"G",0,3,4,0.1,1,0,50,100,5,1580235529,1,1,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
66,"faces_ex66.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",0,"theta_CV",-1,"G",1,3,8,0.1,1,0,50,100,5,1580235529,1,1,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
67,"faces_ex67.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",0,"theta_CV",0,"G",-1,3,2,0.1,1,0.2,50,100,5,1580235529,1,1,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
68,"faces_ex68.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",0,"theta_CV",0,"G",0,3,4,0.1,1,0.2,50,100,5,1580235529,1,1,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
69,"faces_ex69.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",0,"theta_CV",0,"G",1,3,8,0.1,1,0.2,50,100,5,1580235529,1,1,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
70,"faces_ex70.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",0,"theta_CV",1,"G",-1,3,2,0.1,1,0.6,50,100,5,1580235529,1,1,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
71,"faces_ex71.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",0,"theta_CV",1,"G",0,3,4,0.1,1,0.6,50,100,5,1580235529,1,1,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
72,"faces_ex72.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",0,"theta_CV",1,"G",1,3,8,0.1,1,0.6,50,100,5,1580235529,1,1,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
73,"faces_ex73.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",1,"theta_CV",-1,"G",-1,3,2,0.1,2,0,50,100,5,1580235529,1,1,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
74,"faces_ex74.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",1,"theta_CV",-1,"G",0,3,4,0.1,2,0,50,100,5,1580235529,1,1,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
75,"faces_ex75.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",1,"theta_CV",-1,"G",1,3,8,0.1,2,0,50,100,5,1580235529,1,1,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
76,"faces_ex76.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",1,"theta_CV",0,"G",-1,3,2,0.1,2,0.2,50,100,5,1580235529,1,1,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
77,"faces_ex77.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",1,"theta_CV",0,"G",0,3,4,0.1,2,0.2,50,100,5,1580235529,1,1,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
78,"faces_ex78.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",1,"theta_CV",0,"G",1,3,8,0.1,2,0.2,50,100,5,1580235529,1,1,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
79,"faces_ex79.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",1,"theta_CV",1,"G",-1,3,2,0.1,2,0.6,50,100,5,1580235529,1,1,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
